row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,Tại ngày 31 tháng 12 năm > 2022 VND,Tại ngày 31 tháng 12 năm > 2021 VND(Phân loại lại – Thuyết minh 37),numeric__TÀI SẢN,numeric__Thuyết minh,numeric__Tại ngày 31 tháng 12 năm > 2022 VND,numeric__Tại ngày 31 tháng 12 năm > 2021 VND(Phân loại lại – Thuyết minh 37)
100,100,100,TÀI SẢN NGĂN HẠN,,1.305.795.538.303,1.442.493.727.604,,,1305795538303.0,1442493727604.0
110,110,110,Tiền và các khoản tương đương tiền,4,360.383.344.706,1.013.594.183.927,,4.0,360383344706.0,1013594183927.0
111,111,111,Tiền,,80.590.591.281,651.672.196.498,,,80590591281.0,651672196498.0
112,112,112,Các khoản tương đương tiền,,279.792.753.425,361.921.987.429,,,279792753425.0,361921987429.0
120,120,120,Đầu tư tài chính ngắn hạn,,239.367.439.500,98.700.000.000,,,239367439500.0,98700000000.0
123,123,123,Đầu tư nắm giữ đến ngày đáo hạn,10(a),239.367.439.500,98.700.000.000,,,239367439500.0,98700000000.0
130,130,130,Các khoản phải thu ngắn hạn,,560.183.580.705,232.334.387.079,,,560183580705.0,232334387079.0
131,131,131,Phải thu ngắn hạn của khách hàng,5,188.497.724.901,210.870.194.878,,5.0,188497724901.0,210870194878.0
132,132,132,Trả trước cho người bán ngắn hạn,,8.315.243.630,2.890.481.699,,,8315243630.0,2890481699.0
136,136,136,Phải thu ngắn hạn khác,6(a),364.380.471.256,19.515.398.464,,,364380471256.0,19515398464.0
137,137,137,Dự phòng phải thu ngắn hạn khó đòi,5,(1.009.859.082),(941.687.962),,5.0,-1009859082.0,-941687962.0
140,140,140,Hàng tồn kho,,28.028.085.828,21.111.762.403,,,28028085828.0,21111762403.0
141,141,141,Hàng tồn kho,7,28.028.085.828,21.111.762.403,,7.0,28028085828.0,21111762403.0
150,150,150,Tài sản ngắn hạn khác,,117.833.087.564,76.753.394.195,,,117833087564.0,76753394195.0
151,151,151,Chi phí trả trước ngắn hạn,8(a),43.834.422.724,22.926.052.350,,,43834422724.0,22926052350.0
152,152,152,"Thuế Giá trị Gia tăng (""GTGT"") được khấu trừ",13(a),72.728.817.007,52.585.960.594,,,72728817007.0,52585960594.0
153,153,153,Thuế và các khoản khác phải thu Nhà nước,13(a),1.269.847.833,1.241.381.251,,,1269847833.0,1241381251.0
200,200,200,TÀI SẢN DÀI HẠN,,3.061.014.785.790,1.823.926.713.558,,,3061014785790.0,1823926713558.0
210,210,210,Các khoản phải thu dài hạn,,827.194.723.552,2.333.534.000,,,827194723552.0,2333534000.0
216,216,216,Phải thu dài hạn khác,6(b),827.194.723.552,2.333.534.000,,,827194723552.0,2333534000.0
220,220,220,Tài sản cố định,,814.375.685.400,810.879.610.860,,,814375685400.0,810879610860.0
221,221,221,Tài sản cố định hữu hình,9(a),808.495.656.154,804.486.350.318,,,808495656154.0,804486350318.0
222,222,222,Nguyên giá,,2.545.081.398.487,2.306.605.647.588,,,2545081398487.0,2306605647588.0
223,223,223,Giá trị khấu hao lũy kế,,(1.736.585.742.333),(1.502.119.297.270),,,-1736585742333.0,-1502119297270.0
227,227,227,Tài sản cố định vô hình,9(b),5.880.029.246,6.393.260.542,,,5880029246.0,6393260542.0
228,228,228,Nguyên giá,,21.654.078.750,21.363.168.750,,,21654078750.0,21363168750.0
229,229,229,Giá trị khấu hao lũy kế,,(15.774.049.504),(14.969.908.208),,,-15774049504.0,-14969908208.0
240,240,240,Tài sản dở dang dài hạn,,11.928.306.000,2.310.000.000,,,11928306000.0,2310000000.0
242,242,242,Chi phí xây dựng cơ bản dở dang,,11.928.306.000,2.310.000.000,,,11928306000.0,2310000000.0
250,250,250,Đầu tư tài chính dài hạn,,486.680.522.471,506.403.106.257,,,486680522471.0,506403106257.0
252,252,252,Đầu tư vào công ty liên kết,10(b),486.525.522.471,506.248.106.257,,,486525522471.0,506248106257.0
253,253,253,Đầu tư góp vốn vào đơn vị khác,10(c),155.000.000,155.000.000,,,155000000.0,155000000.0
260,260,260,Tài sản dài hạn khác,,920.835.548.367,502.000.462.441,,,920835548367.0,502000462441.0
261,261,261,Chi phí trả trước dài hạn,8(b),916.126.213.608,501.802.196.160,,,916126213608.0,501802196160.0
262,262,262,Tài sản thuế thu nhập hoãn lại,,108.305.270,198.266.281,,,108305270.0,198266281.0
263,263,263,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",,428.200.000,-,,,428200000.0,
269,269,269,Lợi thế thương mại,11,4.172.829.489,-,,11.0,4172829489.0,
270,270,270,TỔNG TÀI SẢN,,4.366.810.324.093,3.266.420.441.162,,,4366810324093.0,3266420441162.0
