row_label_raw,row_label_full,col_0,col_1,Tại ngày31/12/2021VND,Số phát sinhtrong nămVND,Cán trừtrong nămVND,Phân loại lại phảithu và phải trảVND,Tại ngày31/12/2022VND,numeric__col_1,numeric__Tại ngày31/12/2021VND,numeric__Số phát sinhtrong nămVND,numeric__Cán trừtrong nămVND,numeric__Phân loại lại phảithu và phải trảVND,numeric__Tại ngày31/12/2022VND
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,52.585.960.594,110.086.114.334,(91.450.267.796),1.507.009.875,72.728.817.007,,52585960594.0,110086114334.0,-91450267796.0,1507009875.0,72728817007.0
Thuế và các khoản khác phải thu Nhà nước Trong đó:,Thuế và các khoản khác phải thu Nhà nước Trong đó:,Thuế và các khoản khác phải thu Nhà nước Trong đó:,Thuế và các khoản khác phải thu Nhà nước Trong đó:,1.241.381.251,-,(2.761.011),31.227.593,1.269.847.833,,1241381251.0,,-2761011.0,31227593.0,1269847833.0
- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,-,-,-,26.533.592,26.533.592,,,,,26533592.0,26533592.0
- Thuế TNDN,- Thuế TNDN,- Thuế TNDN,- Thuế TNDN,1.241.381.251,-,(2.761.011),-,1.238.620.240,,1241381251.0,,-2761011.0,,1238620240.0
- Thuế khác,- Thuế khác,- Thuế khác,- Thuế khác,-,-,-,4.694.001,4.694.001,,,,,4694001.0,4694001.0
,,,,53.827.341.845,110.086.114.334,(91.453.028.807),1.538.237.468,73.998.664.840,,53827341845.0,110086114334.0,-91453028807.0,1538237468.0,73998664840.0
(b) Phải trả,(b) Phải trả,(b) Phải trả,(b) Phải trả,(b) Phải trả,(b) Phải trả,(b) Phải trả,(b) Phải trả,(b) Phải trả,,,,,,
,,,Tại ngày31/12/2021VND,Số phải nộp phátsinh trong nămVND,Số đã thực nộptrong nămVND,Cán trừtrong nămVND,Phân loại lại phảithu và phải trảVND,Tại ngày31/12/2022VND,,,,,,
Thuế GTGT phải nộp,(b) Phải trả > Thuế GTGT phải nộp,Thuế GTGT phải nộp,3.266.188.982,134.649.222.922,(45.935.763.535),(91.450.267.796),1.507.009.875,2.036.390.448,3266188982.0,134649222922.0,-45935763535.0,-91450267796.0,1507009875.0,2036390448.0
Thuế TNDN,(b) Phải trả > Thuế TNDN,Thuế TNDN,18.499.730.099,83.968.553.635,(84.803.675.087),(2.761.011),-,17.661.847.636,18499730099.0,83968553635.0,-84803675087.0,-2761011.0,,17661847636.0
Thuế thu nhập cá nhân,(b) Phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.784.325.547,18.672.990.189,(15.772.851.835),-,26.533.592,4.710.997.493,1784325547.0,18672990189.0,-15772851835.0,,26533592.0,4710997493.0
Thuế và các khoản phảinộp Nhà nước khác,(b) Phải trả > Thuế và các khoản phảinộp Nhà nước khác,Thuế và các khoản phảinộp Nhà nước khác,1.367.326.120,15.058.410.679,(16.430.430.800),-,4.694.001,-,1367326120.0,15058410679.0,-16430430800.0,,4694001.0,
,,,24.917.570.748,252.349.177.425,(162.942.721.257),(91.453.028.807),1.538.237.468,24.409.235.577,24917570748.0,252349177425.0,-162942721257.0,-91453028807.0,1538237468.0,24409235577.0
