row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận tàiVND,Thiết bịquản lýVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tàiVND,numeric__Thiết bịquản lýVND,numeric__Tổng cộngVND
Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,,,,,
Tại ngày 1 tháng 1 năm 2022,Nguyên giả > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,837.318.279.597,94.168.860.586,1.357.384.826.300,17.733.681.105,2.306.605.647.588,837318279597.0,94168860586.0,1357384826300.0,17733681105.0,2306605647588.0
Mua trong năm (*),Nguyên giả > Mua trong năm (*),Mua trong năm (*),11.863.524.604,461.670.000,114.840.615.101,728.287.894,127.894.097.599,11863524604.0,461670000.0,114840615101.0,728287894.0,127894097599.0
Tăng do hợp nhất trong năm(Thuyết minh 3),Nguyên giả > Tăng do hợp nhất trong năm(Thuyết minh 3),Tăng do hợp nhất trong năm(Thuyết minh 3),103.000.584.013,-,23.729.117.554,497.190.000,127.226.891.567,103000584013.0,,23729117554.0,497190000.0,127226891567.0
Chuyển sang hàng tồn kho,Nguyên giả > Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,-,-,(3.017.830.200),-,(3.017.830.200),,,-3017830200.0,,-3017830200.0
"Thanh lý, nhượng bán","Nguyên giả > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(62.500.000),(37.000.000),(13.379.153.522),(148.754.545),(13.627.408.067),-62500000.0,-37000000.0,-13379153522.0,-148754545.0,-13627408067.0
Tại ngày 31 tháng 12 năm 2022,Nguyên giả > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,952.119.888.214,94.593.530.586,1.479.557.575.233,18.810.404.454,2.545.081.398.487,952119888214.0,94593530586.0,1479557575233.0,18810404454.0,2545081398487.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,(472.648.934.443),(67.474.007.257),(946.619.198.979),(15.377.156.591),(1.502.119.297.270),-472648934443.0,-67474007257.0,-946619198979.0,-15377156591.0,-1502119297270.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(57.715.664.520),(7.921.108.319),(133.873.045.433),(1.212.562.488),(200.722.380.760),-57715664520.0,-7921108319.0,-133873045433.0,-1212562488.0,-200722380760.0
Tăng do hợp nhất trong năm(Thuyết minh 3),Giá trị khấu hao lũy kế > Tăng do hợp nhất trong năm(Thuyết minh 3),Tăng do hợp nhất trong năm(Thuyết minh 3),(35.043.256.976),-,(8.542.691.597),(172.213.200),(43.758.161.773),-35043256976.0,,-8542691597.0,-172213200.0,-43758161773.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",23.151.889,8.189.070,9.875.246.394,107.510.117,10.014.097.470,23151889.0,8189070.0,9875246394.0,107510117.0,10014097470.0
Tại ngày 31 tháng 12 năm 2022,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,(565.384.704.050),(75.386.926.506),(1.079.159.689.615),(16.654.422.162),(1.736.585.742.333),-565384704050.0,-75386926506.0,-1079159689615.0,-16654422162.0,-1736585742333.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,364.669.345.154,26.694.853.329,410.765.627.321,2.356.524.514,804.486.350.318,364669345154.0,26694853329.0,410765627321.0,2356524514.0,804486350318.0
Tại ngày 31 tháng 12 năm 2022,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,386.735.184.164,19.206.604.080,400.397.885.618,2.155.982.292,808.495.656.154,386735184164.0,19206604080.0,400397885618.0,2155982292.0,808495656154.0
