row_label_raw,row_label_full,Hội đồng quản trị,Hội đồng quản trị_1,Hội đồng quản trị_2,Hội đồng quản trị_3,numeric__Hội đồng quản trị_1,numeric__Hội đồng quản trị_2,numeric__Hội đồng quản trị_3
Ông Nguyễn Việt Hoà,Ông Nguyễn Việt Hoà,Ông Nguyễn Việt Hoà,Chủ tịch,2.429.589.000,1.398.971.710,,2429589000.0,1398971710.0
Ông Nguyễn Việt Trung,Ông Nguyễn Việt Trung,Ông Nguyễn Việt Trung,Thành viên,1.148.141.735,200.000.000,,1148141735.0,200000000.0
Ông Văn Trần Hoàn,Ông Văn Trần Hoàn,Ông Văn Trần Hoàn,Thành viên,450.000.000,200.000.000,,450000000.0,200000000.0
Ông Tạ Công Thông,Ông Tạ Công Thông,Ông Tạ Công Thông,Thành viên,1.743.083.874,-,,1743083874.0,
Ông Bùi Minh Hưng,Ông Bùi Minh Hưng,Ông Bùi Minh Hưng,Thành Viên(bố nhiệm ngày 24/3/2022),2.962.138.000,476.498.000,,2962138000.0,476498000.0
Ông Cáp Trọng Cường,Ông Cáp Trọng Cường,Ông Cáp Trọng Cường,Thành viên(bố nhiệm ngày 9/9/2022),1.737.370.917,,,1737370917.0,
Ông Nguyễn Đức Dũng,Ông Nguyễn Đức Dũng,Ông Nguyễn Đức Dũng,Thành viên(bố nhiệm ngày 9/9/2022),-,-,,,
Ông Dương Tiến Dũng,Ông Nguyễn Đức Dũng > Ông Dương Tiến Dũng,Ông Dương Tiến Dũng,Thành viên(từ nhiệm ngày 9/9/2022),2.724.981.000,642.813.000,,2724981000.0,642813000.0
Ông Trần Quang Tiến,Ông Nguyễn Đức Dũng > Ông Trần Quang Tiến,Ông Trần Quang Tiến,Thành viên(từ nhiệm ngày 9/9/2022),300.000.000,-,,300000000.0,
Ông Nguyễn Hoàng Anh,Ông Nguyễn Đức Dũng > Ông Nguyễn Hoàng Anh,Ông Nguyễn Hoàng Anh,Thành viên(từ nhiệm ngày 9/3/2022),500.000.000,200.000.000,,500000000.0,200000000.0
,,,,13.995.304.526,3.118.282.710,,13995304526.0,3118282710.0
Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,,,
Bà Nguyễn Thị Kim Nhã,Ban kiểm soát > Bà Nguyễn Thị Kim Nhã,Bà Nguyễn Thị Kim Nhã,Trưởng ban,338.040.000,484.582.664,,338040000.0,484582664.0
Bà Nguyễn Thị Minh Lan,Ban kiểm soát > Bà Nguyễn Thị Minh Lan,Bà Nguyễn Thị Minh Lan,Thành viên,125.000.000,100.000.000,,125000000.0,100000000.0
Bà Nghiêm Thị Thuy Dương,Ban kiểm soát > Bà Nghiêm Thị Thuy Dương,Bà Nghiêm Thị Thuy Dương,Thành viên,763.786.544,100.000.000,,763786544.0,100000000.0
,,,,1.226.826.544,684.582.664,,1226826544.0,684582664.0
Ban điều hành,Ban điều hành,Ban điều hành,Ban điều hành,Ban điều hành,Ban điều hành,,,
Ông Bùi Minh Hưng,Ông Bùi Minh Hưng,Ông Bùi Minh Hưng,Tổng Giám đốc,Như trên,Như trên,,,
Ông Nguyễn Thế Trọng,Ông Bùi Minh Hưng > Ông Nguyễn Thế Trọng,Ông Nguyễn Thế Trọng,Giám đốc kỹ thuật,2.465.938.000,1.573.259.605,,2465938000.0,1573259605.0
Ông Phan Văn Hưng,Ông Bùi Minh Hưng > Ông Phan Văn Hưng,Ông Phan Văn Hưng,Giám đốc tài chính(bố nhiệm ngày 1/10/2022),204.000.000,-,,204000000.0,
Ông Cáp Trọng Cường,Ông Cáp Trọng Cường,Ông Cáp Trọng Cường,Giám đốc khai thác(bố nhiệm ngày 13/3/2022),Như trên,Như trên,,,
Ông Tạ Công Thông,Ông Tạ Công Thông,Ông Tạ Công Thông,Giám đốc Marketing(bố nhiệm ngày 1/6/2022),Như trên,Như trên,,,
Ông Dương Tiến Dũng,Ông Dương Tiến Dũng,Ông Dương Tiến Dũng,Giám đốc tài chính(miễn nhiệm ngày 1/10/2022),Như trên,Như trên,,,
