row_label_raw,row_label_full,Công ty Cổ phần LogisticsCảng Đà NẵngVND,Công ty Cổ phần Dịch vụ Dầu khi Đình VũVND,Công ty TNHH Tuyến ContainerT.S. Hà Nội VND,Công ty Cổ phần Cảng VIMC Đình VũVND,Tổng cộng VND,numeric__Công ty Cổ phần Dịch vụ Dầu khi Đình VũVND,numeric__Công ty TNHH Tuyến ContainerT.S. Hà Nội VND,numeric__Công ty Cổ phần Cảng VIMC Đình VũVND,numeric__Tổng cộng VND
17.142.585.816487.572.638,17.142.585.816487.572.638,17.142.585.816487.572.638,92.031.598.26762.855.862,4.581.186.174-,392.492.736.000(19.681.656.974),506.248.106.257(19.131.228.474),9.203159826762855e+18,,,
-,-,-,(591.355.312),-,-,(591.355.312),-591355312.0,,,-591355312.0
17.630.158.454,17.630.158.454,17.630.158.454,91.503.098.817,4.581.186.174,372.811.079.026,486.525.522.471,91503098817.0,4581186174.0,372811079026.0,486525522471.0
