row_label_raw,row_label_full,col_0,Tài chính - Ngân hàng Triệu VND,Quản lý và khai thác tài sản Triệu VND,Loại trừ giao dịch/số dư nội bộ Triệu VND,Tổng cộng Triệu VND,numeric__Tài chính - Ngân hàng Triệu VND,numeric__Quản lý và khai thác tài sản Triệu VND,numeric__Loại trừ giao dịch/số dư nội bộ Triệu VND,numeric__Tổng cộng Triệu VND
I. Doanh thu,I. Doanh thu,I. Doanh thu,19.880.580,150.329,(8.885.965),11.144.944,19880580.0,150329.0,-8885965.0,11144944.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,16.237.888,26,(8.726.468),7.511.446,16237888.0,26.0,-8726468.0,7511446.0
Doanh thu lãi từ khách hàng bên ngoài,Doanh thu lãi từ khách hàng bên ngoài,Doanh thu lãi từ khách hàng bên ngoài,7.527.918,26,(16.498),7.511.446,7527918.0,26.0,-16498.0,7511446.0
Doanh thu từ lãi nội bộ,Doanh thu từ lãi nội bộ,Doanh thu từ lãi nội bộ,8.709.970,-,(8.709.970),-,8709970.0,,-8709970.0,
2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,463.084,2.816,(2.828),463.072,463084.0,2816.0,-2828.0,463072.0
3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3.179.608,147.487,(156.669),3.170.426,3179608.0,147487.0,-156669.0,3170426.0
II. Chi phí,II. Chi phí,II. Chi phí,(18.093.129),(135.427),8.875.983,(9.352.573),-18093129.0,-135427.0,8875983.0,-9352573.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,(13.396.481),60.838,8.726.468,(4.609.175),-13396481.0,60838.0,8726468.0,-4609175.0
Chi phí lãi khách hàng bên ngoài,Chi phí lãi khách hàng bên ngoài,Chi phí lãi khách hàng bên ngoài,(4.686.511),60.838,16.498,(4.609.175),-4686511.0,60838.0,16498.0,-4609175.0
Chi phí lãi nội bộ,Chi phí lãi nội bộ,Chi phí lãi nội bộ,(8.709.970),-,8.709.970,-,-8709970.0,,8709970.0,
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,(99.140),(200),-,(99.340),-99140.0,-200.0,,-99340.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(4.597.508),(196.065),149.515,(4.644.058),-4597508.0,-196065.0,149515.0,-4644058.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,1.787.451,14.902,(9.982),1.792.371,1787451.0,14902.0,-9982.0,1792371.0
Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(739.595),-,-,(739.595),-739595.0,,,-739595.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,1.047.856,14.902,(9.982),1.052.776,1047856.0,14902.0,-9982.0,1052776.0
III. Tài sản,III. Tài sản,III. Tài sản,138.728.549,1.301.017,(2.260.878),137.768.688,138728549.0,1301017.0,-2260878.0,137768688.0
1. Tiền mặt,1. Tiền mặt,1. Tiền mặt,2.337.870,4,-,2.337.874,2337870.0,4.0,,2337874.0
2. Tài sản cố định,2. Tài sản cố định,2. Tài sản cố định,330.497,218,-,330.715,330497.0,218.0,,330715.0
3. Tài sản khác,3. Tài sản khác,3. Tài sản khác,136.060.182,1.300.795,(2.260.878),135.100.099,136060182.0,1300795.0,-2260878.0,135100099.0
IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,124.332.620,1.144.751,(1.528.837),123.948.534,124332620.0,1144751.0,-1528837.0,123948534.0
1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,2.264.192,407.390,(404.014),2.267.568,2264192.0,407390.0,-404014.0,2267568.0
2. Nợ phải trả khách hàng nội bộ,2. Nợ phải trả khách hàng nội bộ,2. Nợ phải trả khách hàng nội bộ,831.984,77,(3.587),828.474,831984.0,77.0,-3587.0,828474.0
3. Nợ phải trả khác,3. Nợ phải trả khác,3. Nợ phải trả khác,121.236.444,737.284,(1.121.236),120.852.492,121236444.0,737284.0,-1121236.0,120852492.0
