row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018(Triệu VND),Quá hạn > Trên3 tháng,Quá hạn > Đến 3tháng,Quá hạn > Đến1 tháng,Trong hạn > Từ trên 1tháng đến3 tháng,Trong hạn > Từ trên 3tháng đến12 tháng,Trong hạn > Từ trên 1năm đến5 năm,Trong hạn > Trên5 năm,Trong hạn > Tổng cộng,numeric__Quá hạn > Trên3 tháng,numeric__Quá hạn > Đến 3tháng,numeric__Quá hạn > Đến1 tháng,numeric__Trong hạn > Từ trên 1tháng đến3 tháng,numeric__Trong hạn > Từ trên 3tháng đến12 tháng,numeric__Trong hạn > Từ trên 1năm đến5 năm,numeric__Trong hạn > Trên5 năm,numeric__Trong hạn > Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,-,2.337.874,-,-,-,-,2.337.874,,,2337874.0,,,,,2337874.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,2.406.346,-,-,-,-,2.406.346,,,2406346.0,,,,,2406346.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,-,226.000,15.331.771,4.243.012,3.000.000,10.250,-,22.811.033,,226000.0,15331771.0,4243012.0,3000000.0,10250.0,,22811033.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,127.927,-,-,-,-,127.927,,,127927.0,,,,,127927.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,1.167.873,1.465.902,3.379.522,9.220.159,14.083.099,12.147.869,7.297.819,48.762.243,1167873.0,1465902.0,3379522.0,9220159.0,14083099.0,12147869.0,7297819.0,48762243.0
Hoạt động mua nợ - gộp,Tài sản > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,-,42.148,-,-,-,-,-,42.148,,42148.0,,,,,,42148.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,-,1.451.935,1.301.000,2.057.787,14.908.887,21.947.935,41.667.544,,,1451935.0,1301000.0,2057787.0,14908887.0,21947935.0,41667544.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",-,-,-,-,-,-,10.036,10.036,,,,,,,10036.0,10036.0
Tài sản cố định - thuần,Tài sản > Tài sản cố định - thuần,Tài sản cố định - thuần,-,-,-,-,-,-,330.715,330.715,,,,,,,330715.0,330715.0
Bất động sản đầu tư - thuần,Tài sản > Bất động sản đầu tư - thuần,Bất động sản đầu tư - thuần,-,-,-,-,-,-,1.087.657,1.087.657,,,,,,,1087657.0,1087657.0
Tài sản có khác - gộp,Tài sản > Tài sản có khác - gộp,Tài sản có khác - gộp,1.959.411,742.373,129.470,2.436.949,1.019.892,7.437.625,7.525.089,21.250.809,1959411.0,742373.0,129470.0,2436949.0,1019892.0,7437625.0,7525089.0,21250809.0
,,,3.127.284,2.476.423,25.164.845,17.201.120,20.160.778,34.504.631,38.199.251,140.834.332,3127284.0,2476423.0,25164845.0,17201120.0,20160778.0,34504631.0,38199251.0,140834332.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Nợ phải trả NHNNVN và Chính phủ,Nợ phải trả > Nợ phải trả NHNNVN và Chính phủ,Nợ phải trả NHNNVN và Chính phủ,-,-,9.681.073,-,-,-,27.315,9.708.388,,,9681073.0,,,,27315.0,9708388.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,29.703.248,3.813.722,4.153.841,-,-,37.670.811,,,29703248.0,3813722.0,4153841.0,,,37670811.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,31.169.676,12.344.463,18.246.107,1.743.057,25.467,63.528.770,,,31169676.0,12344463.0,18246107.0,1743057.0,25467.0,63528770.0
Các công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Các công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,-,18.851,111.565,25.901,5.975,-,162.292,,,18851.0,111565.0,25901.0,5975.0,,162292.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,18.932,-,2.670.755,3.725.290,2.000.000,8.414.977,,,18932.0,,2670755.0,3725290.0,2000000.0,8414977.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,2.253.228,1.942.514,267.485,69,-,4.463.296,,,2253228.0,1942514.0,267485.0,69.0,,4463296.0
,,,-,-,72.845.008,18.212.264,25.364.089,5.474.391,2.052.782,123.948.534,,,72845008.0,18212264.0,25364089.0,5474391.0,2052782.0,123948534.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,3.127.284,2.476.423,(47.680.163),(1.011.144),(5.203.311),29.030.240,36.146.469,16.885.798,3127284.0,2476423.0,-47680163.0,-1011144.0,-5203311.0,29030240.0,36146469.0,16885798.0
