row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2019Triệu VND,31/12/2018Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2019Triệu VND,numeric__31/12/2018Triệu VND
XI,XI,XI,Tài sản Có khác,17,20.023.809,20.365.295,,17.0,20023809.0,20365295.0
1,1,1,Các khoản phải thu,,11.253.773,11.005.649,,,11253773.0,11005649.0
2,2,2,"Các khoản lãi, phí phải thu",,4.028.547,3.137.733,,,4028547.0,3137733.0
3,3,3,Tài sản Có khác,,5.527.754,7.107.427,,,5527754.0,7107427.0
,,,Trong đó: Lợi thế thương mại,,55.054,65.036,,,55054.0,65036.0
4,4,4,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,,(786.265),(885.514),,,-786265.0,-885514.0
,,,TỔNG TÀI SẢN,,156.977.946,137.768.688,,,156977946.0,137768688.0
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU NỘ PHẢI TRẢ,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và NHNNVN,18,24.040,9.708.388,,18.0,24040.0,9708388.0
II,B > II,II,Tiền gửi và vay các TCTD khác,19,47.017.860,37.670.811,,19.0,47017860.0,37670811.0
1,B > 1,1,Tiền gửi của các TCTD khác,,19.211.556,21.870.789,,,19211556.0,21870789.0
2,B > 2,2,Vay các TCTD khác,,27.806.304,15.800.022,,,27806304.0,15800022.0
III,B > III,III,Tiền gửi của khách hàng,20,80.872.643,63.528.770,,20.0,80872643.0,63528770.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,8,7.416,162.292,,8.0,7416.0,162292.0
V,B > V,V,Phát hành giấy tờ có giá,21,8.972.781,8.414.977,,21.0,8972781.0,8414977.0
VI,B > VI,VI,Các khoản nợ khác,22,5.219.685,4.463.296,,22.0,5219685.0,4463296.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,2.127.704,1.323.308,,,2127704.0,1323308.0
2,B > 2,2,Các khoản phải trả và công nợ khác,,3.091.981,3.139.988,,,3091981.0,3139988.0
,,,TỔNG NỘ PHẢI TRẢ,,142.114.425,123.948.534,,,142114425.0,123948534.0
