row_label_raw,row_label_full,col_0,Nhà và quyền sử dụng đất,Nhà và quyền sử dụng đất_1,numeric__Nhà và quyền sử dụng đất,numeric__Nhà và quyền sử dụng đất_1
,,,2019Triệu VND,2018Triệu VND,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.251.850,998.650,1251850.0,998650.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.750,254.436,1750.0,254436.0
Giảm khác trong năm,Nguyên giá > Giảm khác trong năm,Giảm khác trong năm,-,(1.236),,-1236.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.253.600,1.251.850,1253600.0,1251850.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,164.193,139.620,164193.0,139620.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,29.581,24.625,29581.0,24625.0
Giảm khác trong năm,Giá trị hao mòn lũy kế > Giảm khác trong năm,Giảm khác trong năm,-,(52),,-52.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,193.774,164.193,193774.0,164193.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.087.657,859.030,1087657.0,859030.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.059.826,1.087.657,1059826.0,1087657.0
