row_label_raw,row_label_full,col_0,col_1,Thuyết minh,2019 Triệu VND,2018 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__2019 Triệu VND,numeric__2018 Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,24,8.594.805,7.511.446,,24.0,8594805.0,7511446.0
2,2,2,Chi phí lãi và các khoản chi phí tương tự,25,(5.532.701),(4.609.175),,25.0,-5532701.0,-4609175.0
I,I,I,Thu nhập lãi thuần,,3.062.104,2.902.271,,,3062104.0,2902271.0
3,3,3,Thu nhập từ hoạt động dịch vụ,,801.506,463.072,,,801506.0,463072.0
4,4,4,Chi phí hoạt động dịch vụ,,(279.253),(191.486),,,-279253.0,-191486.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,26,522.253,271.586,,26.0,522253.0,271586.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,27,155.449,209.414,,27.0,155449.0,209414.0
IV,IV,IV,Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,28,3.447,(14.406),,28.0,3447.0,-14406.0
V,V,V,Lãi thuần từ mua bán chứng khoán đầu tư,29,150.457,720.912,,29.0,150457.0,720912.0
5,5,5,Thu nhập từ hoạt động khác,,930.058,660.073,,,930058.0,660073.0
6,6,6,Chi phí hoạt động khác,,(151.220),(69.629),,,-151220.0,-69629.0
VI,VI,VI,Lãi thuần từ hoạt động khác,30,778.838,590.444,,30.0,778838.0,590444.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",,42.606,35.889,,,42606.0,35889.0
VIII,VIII,VIII,Chi phí hoạt động,31,(2.502.184),(2.923.739),,31.0,-2502184.0,-2923739.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,2.212.970,1.792.371,,,2212970.0,1792371.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,32,(925.148),(739.595),,32.0,-925148.0,-739595.0
XI,XI,XI,Tổng lợi nhuận trước thuế,,1.287.822,1.052.776,,,1287822.0,1052776.0
7,7,7,Chi phí thuế thu nhập doanh nghiệp hiện hành,,(244.262),(184.487),,,-244262.0,-184487.0
XII,XII,XII,Chi phí thuế thu nhập doanh nghiệp (“TNDN”),33,(244.262),(184.487),,33.0,-244262.0,-184487.0
XIII,XIII,XIII,Lợi nhuận sau thuế,,1.043.560,868.289,,,1043560.0,868289.0
XIV,XIV,XIV,Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),34,971,762,,34.0,971.0,762.0
