row_label_raw,row_label_full,Tài khoản tiền gửi thanh toán tại NHNNVN,31/12/2019Triệu VND > Tài khoản tiền gửi thanh toán tại NHNNVN,31/12/2018Triệu VND > Tài khoản tiền gửi thanh toán tại NHNNVN,numeric__31/12/2019Triệu VND > Tài khoản tiền gửi thanh toán tại NHNNVN,numeric__31/12/2018Triệu VND > Tài khoản tiền gửi thanh toán tại NHNNVN
Bằng VND,Bằng VND,Bằng VND,2.864.854,1.639.223,2864854.0,1639223.0
Bằng ngoại tệ,Bằng ngoại tệ,Bằng ngoại tệ,1.206.094,767.123,1206094.0,767123.0
,,,4.070.948,2.406.346,4070948.0,2406346.0
