row_label_raw,row_label_full,col_0,Vốn điều lệ Triệu VND,Thặng dư vốn cổ phần Triệu VND,Cổ phiếu quỹ Triệu VND,Quỹ đầu tư phát triển Triệu VND,Quỹ dự phòng tài chính Triệu VND,Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,Vốn đầu tư xây dựng cơ bản Triệu VND,Lợi nhuận chưa phân phối Triệu VND,Tổng cộng Triệu VND,numeric__Vốn điều lệ Triệu VND,numeric__Thặng dư vốn cổ phần Triệu VND,numeric__Cổ phiếu quỹ Triệu VND,numeric__Quỹ đầu tư phát triển Triệu VND,numeric__Quỹ dự phòng tài chính Triệu VND,numeric__Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,numeric__Vốn đầu tư xây dựng cơ bản Triệu VND,numeric__Lợi nhuận chưa phân phối Triệu VND,numeric__Tổng cộng Triệu VND
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,11.750.000,400.000,(270.730),12.958,529.542,141.554,608,1.158.010,13.721.942,11750000.0,400000.0,-270730.0,12958.0,529542.0,141554.0,608.0,1158010.0,13721942.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,868.289,868.289,,,,,,,,868289.0,868289.0
Mua cổ phiếu quỹ trong năm,Mua cổ phiếu quỹ trong năm,Mua cổ phiếu quỹ trong năm,-,-,(769.925),-,-,-,-,-,(769.925),,,-769925.0,,,,,,-769925.0
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,-,-,12.772,6.656,-,(19.428),-,,,,,12772.0,6656.0,,-19428.0,
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(152),-,-,-,(152),,,,,-152.0,,,,-152.0
Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,11.750.000,400.000,(1.040.655),12.958,542.162,148.210,608,2.006.871,13.820.154,11750000.0,400000.0,-1040655.0,12958.0,542162.0,148210.0,608.0,2006871.0,13820154.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,1.043.560,1.043.560,,,,,,,,1043560.0,1043560.0
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,-,-,86.928,44.056,-,(130.984),-,,,,,86928.0,44056.0,,-130984.0,
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(193),-,-,-,(193),,,,,-193.0,,,,-193.0
Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,11.750.000,400.000,(1.040.655),12.958,628.897,192.266,608,2.919.447,14.863.521,11750000.0,400000.0,-1040655.0,12958.0,628897.0,192266.0,608.0,2919447.0,14863521.0
