row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Phần mềm máy vi tínhTriệu VND,Tài sản cố định vô hình khácTriệu VND,Tổng cộngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềm máy vi tínhTriệu VND,numeric__Tài sản cố định vô hình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,70.065,348.850,1.912,420.827,70065.0,348850.0,1912.0,420827.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,50.217,1.299,51.516,,50217.0,1299.0,51516.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,(17.832),-,-,(17.832),-17832.0,,,-17832.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,52.233,399.067,3.211,454.511,52233.0,399067.0,3211.0,454511.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,237.584,1.579,239.163,,237584.0,1579.0,239163.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,-,47.348,525,47.873,,47348.0,525.0,47873.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,284.932,2.104,287.036,,284932.0,2104.0,287036.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,70.065,111.266,333,181.664,70065.0,111266.0,333.0,181664.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,52.233,114.135,1.107,167.475,52233.0,114135.0,1107.0,167475.0
