row_label_raw,row_label_full,col_0,Tài chính - Ngân hàng Triệu VND,Quản lý và khai thác tài sản Triệu VND,Loại trừ giao dịch/số dư nội bộ Triệu VND,Tổng cộng Triệu VND,numeric__Tài chính - Ngân hàng Triệu VND,numeric__Quản lý và khai thác tài sản Triệu VND,numeric__Loại trừ giao dịch/số dư nội bộ Triệu VND,numeric__Tổng cộng Triệu VND
I. Doanh thu,I. Doanh thu,I. Doanh thu,22.713.935,149.863,(10.397.061),12.466.737,22713935.0,149863.0,-10397061.0,12466737.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,18.917.023,819,(10.323.037),8.594.805,18917023.0,819.0,-10323037.0,8594805.0
Doanh thu lãi từ khách hàng bên ngoài,Doanh thu lãi từ khách hàng bên ngoài,Doanh thu lãi từ khách hàng bên ngoài,8.606.452,819,(12.466),8.594.805,8606452.0,819.0,-12466.0,8594805.0
Doanh thu từ lãi nội bộ,Doanh thu từ lãi nội bộ,Doanh thu từ lãi nội bộ,10.310.571,-,(10.310.571),-,10310571.0,,-10310571.0,
2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,801.583,-,(77),801.506,801583.0,,-77.0,801506.0
3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,2.995.329,149.044,(73.947),3.070.426,2995329.0,149044.0,-73947.0,3070426.0
II. Chi phí,II. Chi phí,II. Chi phí,(20.506.131),(134.715),10.387.079,(10.253.767),-20506131.0,-134715.0,10387079.0,-10253767.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,(15.848.742),(6.996),10.323.037,(5.532.701),-15848742.0,-6996.0,10323037.0,-5532701.0
Chi phí lãi khách hàng bên ngoài,Chi phí lãi khách hàng bên ngoài,Chi phí lãi khách hàng bên ngoài,(5.538.171),(6.996),12.466,(5.532.701),-5538171.0,-6996.0,12466.0,-5532701.0
Chi phí lãi nội bộ,Chi phí lãi nội bộ,Chi phí lãi nội bộ,(10.310.571),-,10.310.571,-,-10310571.0,,10310571.0,
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,(93.895),(185),-,(94.080),-93895.0,-185.0,,-94080.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(4.563.494),(127.534),64.042,(4.626.986),-4563494.0,-127534.0,64042.0,-4626986.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,2.207.804,15.148,(9.982),2.212.970,2207804.0,15148.0,-9982.0,2212970.0
Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(925.148),-,-,(925.148),-925148.0,,,-925148.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,1.282.656,15.148,(9.982),1.287.822,1282656.0,15148.0,-9982.0,1287822.0
III. Tài sản,III. Tài sản,III. Tài sản,157.705.018,1.219.381,(1.946.453),156.977.946,157705018.0,1219381.0,-1946453.0,156977946.0
1. Tiền mặt,1. Tiền mặt,1. Tiền mặt,2.495.225,12,-,2.495.237,2495225.0,12.0,,2495237.0
2. Tài sản cố định,2. Tài sản cố định,2. Tài sản cố định,330.480,34,-,330.514,330480.0,34.0,,330514.0
3. Tài sản khác,3. Tài sản khác,3. Tài sản khác,154.879.313,1.219.335,(1.946.453),154.152.195,154879313.0,1219335.0,-1946453.0,154152195.0
IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,142.267.847,1.051.009,(1.204.431),142.114.425,142267847.0,1051009.0,-1204431.0,142114425.0
1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,2.319.104,328.665,(319.290),2.328.479,2319104.0,328665.0,-319290.0,2328479.0
2. Nợ phải trả khách hàng nội bộ,2. Nợ phải trả khách hàng nội bộ,2. Nợ phải trả khách hàng nội bộ,649.036,80,-,649.116,649036.0,80.0,,649116.0
3. Nợ phải trả khác,3. Nợ phải trả khác,3. Nợ phải trả khác,139.299.707,722.264,(885.141),139.136.830,139299707.0,722264.0,-885141.0,139136830.0
