row_label_raw,row_label_full,col_0,"Hoạt động cho thuê, fiscal",Hoạt động kinh doanh BĐS,Tổng cộng toàn doanh aghiệp,"numeric__Hoạt động cho thuê, fiscal",numeric__Hoạt động kinh doanh BĐS,numeric__Tổng cộng toàn doanh aghiệp
,,,VND,VND,VND,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,12.911.970.663,7.202.249.150,20.114.219.813,12911970663.0,7202249150.0,20114219813.0
Lợi nhuận gộp từ hoạt động kinh doanh,Lợi nhuận gộp từ hoạt động kinh doanh,Lợi nhuận gộp từ hoạt động kinh doanh,3.978.675.317,2.689.550.150,6.668.225.467,3978675317.0,2689550150.0,6668225467.0
Tổng chi phí mua tài,Tổng chi phí mua tài,Tổng chi phí mua tài,,,434.168.912,,,434168912.0
Tải sản bộ phận,Tải sản bộ phận,Tải sản bộ phận,328.226.931.854,1.161.483.592.460,1.489.710.524.314,328226931854.0,1161483592460.0,1489710524314.0
Tải sản không phân bổ,Tải sản không phân bổ,Tải sản không phân bổ,,,602.166.104.184,,,602166104184.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,328.226.931.854,1.161.483.592.460,2.091.876.628.498,328226931854.0,1161483592460.0,2091876628498.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,353.401.196.574,814.853.283.166,1.168.254.479.740,353401196574.0,814853283166.0,1168254479740.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,474.043.669.810,,,474043669810.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,353.401.196.574,814.853.283.166,1.642.298.149.550,353401196574.0,814853283166.0,1642298149550.0
