row_label_raw,row_label_full,31/12/2020,31/12/2020_1,01/01/2020,01/01/2020_1,numeric__31/12/2020_1,numeric__01/01/2020,numeric__01/01/2020_1
Giá gốc,Giá gốc,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,
VND,VND,VND,VND,VND,VND,,,
1.679.801.953.500,VND > 1.679.801.953.500,1.679.801.953.500,(651.244.221.595),1.679.801.953.500,(914.865.152.902),-651244221595.0,1679801953500.0,-914865152902.0
1.185.162.911.600,VND > 1.185.162.911.600,1.185.162.911.600,(209.688.939.429),1.185.162.911.600,(473.517.350.863),-209688939429.0,1185162911600.0,-473517350863.0
480.465.301.009,VND > 480.465.301.009,480.465.301.009,(433.667.285.084),480.465.301.009,(433.459.804.957),-433667285084.0,480465301009.0,-433459804957.0
11.310.000.000,VND > 11.310.000.000,11.310.000.000,(5.069.256.191),11.310.000.000,(5.069.256.191),-5069256191.0,11310000000.0,-5069256191.0
2.818.740.891,VND > 2.818.740.891,2.818.740.891,(2.818.740.891),2.818.740.891,(2.818.740.891),-2818740891.0,2818740891.0,-2818740891.0
45.000.000,VND > 45.000.000,45.000.000,-,45.000.000,-,,45000000.0,
104.228.000.000,VND > 104.228.000.000,104.228.000.000,-,104.228.000.000,-,,104228000000.0,
104.228.000.000,VND > 104.228.000.000,104.228.000.000,-,104.228.000.000,-,,104228000000.0,
