row_label_raw,row_label_full,col_0,"Phương tiện vântài, truyền dẫn",TSCĐ dùngtrong quản lý,Cộng,"numeric__Phương tiện vântài, truyền dẫn",numeric__TSCĐ dùngtrong quản lý,numeric__Cộng
,,,VND,VND,VND,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.265.781.818,75.150.000,1.340.931.818,1265781818.0,75150000.0,1340931818.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,38.280.000,38.280.000,,38280000.0,38280000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.265.781.818,113.430.000,1.379.211.818,1265781818.0,113430000.0,1379211818.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,970.500.159,46.870.429,1.017.370.588,970500159.0,46870429.0,1017370588.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,157.481.880,20.530.423,178.012.303,157481880.0,20530423.0,178012303.0
Số clự cuối năm,Giá trị hao mòn lũy kế > Số clự cuối năm,Số clự cuối năm,1.127.982.039,67.400.852,1.195.382.891,1127982039.0,67400852.0,1195382891.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,295.281.659,28.279.571,323.561.230,295281659.0,28279571.0,323561230.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,137.799.779,46.029.148,183.828.927,137799779.0,46029148.0,183828927.0
