row_label_raw,row_label_full,"21. Các khoản lãi, phí phải trả",31/12/2024,31/12/2023,numeric__31/12/2024,numeric__31/12/2023
Lãi phải trả cho tiền gửi,Lãi phải trả cho tiền gửi,Lãi phải trả cho tiền gửi,969.428,1.483.547,969428.0,1483547.0
Lãi phải trả về phát hành các giấy tờ có giá,Lãi phải trả về phát hành các giấy tờ có giá,Lãi phải trả về phát hành các giấy tờ có giá,32.399,48.292,32399.0,48292.0
Lãi phải trả cho tiền vay,Lãi phải trả cho tiền vay,Lãi phải trả cho tiền vay,6,58.779,6.0,58779.0
Lãi phải trả cho các công cụ tài chính phải sinh,Lãi phải trả cho các công cụ tài chính phải sinh,Lãi phải trả cho các công cụ tài chính phải sinh,221,16.948,221.0,16948.0
Tổng cộng,Tổng cộng,Tổng cộng,1.002.054,1.607.566,1002054.0,1607566.0
"22. Các khoản phải trả, nợ khác và dự phòng rủi ro khác","22. Các khoản phải trả, nợ khác và dự phòng rủi ro khác","22. Các khoản phải trả, nợ khác và dự phòng rủi ro khác",31/12/2024,31/12/2023,,
Các khoản phải trả nội bộ,"22. Các khoản phải trả, nợ khác và dự phòng rủi ro khác > Các khoản phải trả nội bộ",Các khoản phải trả nội bộ,431.681,148.786,431681.0,148786.0
- Các khoản phải trả cho Cán bộ CNV,"22. Các khoản phải trả, nợ khác và dự phòng rủi ro khác > - Các khoản phải trả cho Cán bộ CNV",- Các khoản phải trả cho Cán bộ CNV,266.144,24.283,266144.0,24283.0
- Quỹ khen thưởng và phúc lợi phải trả,"22. Các khoản phải trả, nợ khác và dự phòng rủi ro khác > - Quỹ khen thưởng và phúc lợi phải trả",- Quỹ khen thưởng và phúc lợi phải trả,45.584,6.415,45584.0,6415.0
- Các khoản phải trả nội bộ khác,"22. Các khoản phải trả, nợ khác và dự phòng rủi ro khác > - Các khoản phải trả nội bộ khác",- Các khoản phải trả nội bộ khác,119.953,118.088,119953.0,118088.0
Các khoản phải trả bên ngoài,"22. Các khoản phải trả, nợ khác và dự phòng rủi ro khác > Các khoản phải trả bên ngoài",Các khoản phải trả bên ngoài,1.449.607,957.545,1449607.0,957545.0
- Thuế thu nhập doanh nghiệp phải nộp,"22. Các khoản phải trả, nợ khác và dự phòng rủi ro khác > - Thuế thu nhập doanh nghiệp phải nộp",- Thuế thu nhập doanh nghiệp phải nộp,99.206,41.029,99206.0,41029.0
- Chuyển tiền phải trả,"22. Các khoản phải trả, nợ khác và dự phòng rủi ro khác > - Chuyển tiền phải trả",- Chuyển tiền phải trả,3.678,7.347,3678.0,7347.0
- Thuế và các khoản phải nộp cho Nhà Nước,"22. Các khoản phải trả, nợ khác và dự phòng rủi ro khác > - Thuế và các khoản phải nộp cho Nhà Nước",- Thuế và các khoản phải nộp cho Nhà Nước,18.166,17.201,18166.0,17201.0
- Tiền giữ hộ và đợi thanh toán,"22. Các khoản phải trả, nợ khác và dự phòng rủi ro khác > - Tiền giữ hộ và đợi thanh toán",- Tiền giữ hộ và đợi thanh toán,8.806,24.397,8806.0,24397.0
- Phải trả Banknet và các khoản chờ thanh toán khác,"22. Các khoản phải trả, nợ khác và dự phòng rủi ro khác > - Phải trả Banknet và các khoản chờ thanh toán khác",- Phải trả Banknet và các khoản chờ thanh toán khác,1.024.863,864.555,1024863.0,864555.0
- Các khoản phải trả bên ngoài khác,"22. Các khoản phải trả, nợ khác và dự phòng rủi ro khác > - Các khoản phải trả bên ngoài khác",- Các khoản phải trả bên ngoài khác,294.888,3.016,294888.0,3016.0
Tổng cộng,"22. Các khoản phải trả, nợ khác và dự phòng rủi ro khác > Tổng cộng",Tổng cộng,1.881.288,1.106.331,1881288.0,1106331.0
