row_label_raw,row_label_full,Năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Khoản mục,"Năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Nhà cửa, vật kiến trúc",Năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Máy móc thiết bị,Năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Phương tiện vận tải truyền dẫn,Năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Thiết bị dụng cụ quản lý,Năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Tài sản cố định khác,Năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Tổng cộng,"numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Nhà cửa, vật kiến trúc",numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Máy móc thiết bị,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Phương tiện vận tải truyền dẫn,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Thiết bị dụng cụ quản lý,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Tài sản cố định khác,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Tổng cộng
Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,,,,,,,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,729.096,76.529,145.445,133.213,22.804,1.107.087,729096.0,76529.0,145445.0,133213.0,22804.0,1107087.0
- Mua trong năm,Nguyên giá TSCĐ hữu hình > - Mua trong năm,- Mua trong năm,-,7.338,-,3.036,101,10.475,,7338.0,,3036.0,101.0,10475.0
- Tăng do ĐTXDCB dở dang,Nguyên giá TSCĐ hữu hình > - Tăng do ĐTXDCB dở dang,- Tăng do ĐTXDCB dở dang,-,-,6.582,48.274,-,54.856,,,6582.0,48274.0,,54856.0
"- Thanh lý, nhượng bán","Nguyên giá TSCĐ hữu hình > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(271),(475),-,(221),-,(967),-271.0,-475.0,,-221.0,,-967.0
Số dư cuối năm,Nguyên giá TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,728.825,83.392,152.027,184.302,22.905,1.171.451,728825.0,83392.0,152027.0,184302.0,22905.0,1171451.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,217.706,47.978,104.531,110.894,14.882,495.991,217706.0,47978.0,104531.0,110894.0,14882.0,495991.0
- Hao mòn trong năm,Giá trị hao mòn lũy kế > - Hao mòn trong năm,- Hao mòn trong năm,27.919,5.665,9.368,9.643,740,53.335,27919.0,5665.0,9368.0,9643.0,740.0,53335.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(271),(475),-,(221),-,(967),-271.0,-475.0,,-221.0,,-967.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,245.354,53.168,113.899,120.316,15.622,548.359,245354.0,53168.0,113899.0,120316.0,15622.0,548359.0
Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,,,,,,,,,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,511.390,28.551,40.914,22.319,7.922,611.096,511390.0,28551.0,40914.0,22319.0,7922.0,611096.0
Số dư cuối năm,Giá trị còn lại của TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,483.471,30.224,38.128,63.986,7.283,623.092,483471.0,30224.0,38128.0,63986.0,7283.0,623092.0
