row_label_raw,row_label_full,Công nợ phải trả,Tính chất giao dịch,31/12/2024,31/12/2023,numeric__Tính chất giao dịch,numeric__31/12/2024,numeric__31/12/2023
Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Tiền gửi,4.817,1.212,,4817.0,1212.0
Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Lãi phải trả,21,10,,21.0,10.0
Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Tiền gửi,1.845,1.798,,1845.0,1798.0
Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Lãi phải trả,1,3,,1.0,3.0
Thành viên Ban kiểm soát,Thành viên Ban kiểm soát,Thành viên Ban kiểm soát,Tiền gửi,614,705,,614.0,705.0
Các công ty và cá nhân có liên quan đến thành viên Hội đồng Quản trị,Các công ty và cá nhân có liên quan đến thành viên Hội đồng Quản trị,Các công ty và cá nhân có liên quan đến thành viên Hội đồng Quản trị,Tiền gửi,37.237,111.995,,37237.0,111995.0
Các công ty và cá nhân có liên quan đến thành viên Hội đồng Quản trị,Các công ty và cá nhân có liên quan đến thành viên Hội đồng Quản trị,Các công ty và cá nhân có liên quan đến thành viên Hội đồng Quản trị,Lãi phải trả,44,178,,44.0,178.0
Các công ty và cá nhân có liên quan đến thành viên Ban Tổng Giám đốc,Các công ty và cá nhân có liên quan đến thành viên Ban Tổng Giám đốc,Các công ty và cá nhân có liên quan đến thành viên Ban Tổng Giám đốc,Tiền gửi,15.690,24.907,,15690.0,24907.0
Các công ty và cá nhân có liên quan đến thành viên Ban Tổng Giám đốc,Các công ty và cá nhân có liên quan đến thành viên Ban Tổng Giám đốc,Các công ty và cá nhân có liên quan đến thành viên Ban Tổng Giám đốc,Lãi phải trả,92,118,,92.0,118.0
Các công ty và cá nhân có liên quan đến thành viên Ban Kiểm soát,Các công ty và cá nhân có liên quan đến thành viên Ban Kiểm soát,Các công ty và cá nhân có liên quan đến thành viên Ban Kiểm soát,Tiền gửi,1.622,1.300,,1622.0,1300.0
Các công ty và cá nhân có liên quan đến thành viên Ban Kiểm soát,Các công ty và cá nhân có liên quan đến thành viên Ban Kiểm soát,Các công ty và cá nhân có liên quan đến thành viên Ban Kiểm soát,Lãi phải trả,22,23,,22.0,23.0
