row_label_raw,row_label_full,Chi tiết số dư dự phòng,31/12/2024,31/12/2023,numeric__31/12/2024,numeric__31/12/2023
Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,980.347,623.233,980347.0,623233.0
+ Dự phòng chung,+ Dự phòng chung,+ Dự phòng chung,454.450,364.535,454450.0,364535.0
+ Dự phòng cụ thể,+ Dự phòng cụ thể,+ Dự phòng cụ thể,525.897,258.698,525897.0,258698.0
Cộng,Cộng,Cộng,980.347,623.233,980347.0,623233.0
7. Hoạt động mua nợ: Không phát sinh.,7. Hoạt động mua nợ: Không phát sinh.,7. Hoạt động mua nợ: Không phát sinh.,7. Hoạt động mua nợ: Không phát sinh.,7. Hoạt động mua nợ: Không phát sinh.,,
8. Chứng khoán đầu tư,8. Chứng khoán đầu tư,8. Chứng khoán đầu tư,,,,
,,,31/12/2024,31/12/2023,,
8.1. Chứng khoán đầu tư sẵn sàng để bán,8.1. Chứng khoán đầu tư sẵn sàng để bán,8.1. Chứng khoán đầu tư sẵn sàng để bán,8.1. Chứng khoán đầu tư sẵn sàng để bán,8.1. Chứng khoán đầu tư sẵn sàng để bán,,
a. Chứng khoán Nợ,8.1. Chứng khoán đầu tư sẵn sàng để bán > a. Chứng khoán Nợ,a. Chứng khoán Nợ,1.298.447,796.897,1298447.0,796897.0
- Chứng khoán Chính phủ,8.1. Chứng khoán đầu tư sẵn sàng để bán > - Chứng khoán Chính phủ,- Chứng khoán Chính phủ,1.298.447,-,1298447.0,
- Trái phiếu do các tổ chức kinh tế trong nước phát hành,8.1. Chứng khoán đầu tư sẵn sàng để bán > - Trái phiếu do các tổ chức kinh tế trong nước phát hành,- Trái phiếu do các tổ chức kinh tế trong nước phát hành,-,796.897,,796897.0
b. Dự phòng giảm giá chứng khoán sẵn sàng để bán,8.1. Chứng khoán đầu tư sẵn sàng để bán > b. Dự phòng giảm giá chứng khoán sẵn sàng để bán,b. Dự phòng giảm giá chứng khoán sẵn sàng để bán,-,(6.045),,-6045.0
- Dự phòng chung,8.1. Chứng khoán đầu tư sẵn sàng để bán > - Dự phòng chung,- Dự phòng chung,-,(6.045),,-6045.0
Cộng,8.1. Chứng khoán đầu tư sẵn sàng để bán > Cộng,Cộng,1.298.447,790.852,1298447.0,790852.0
8.1. Chứng khoán đầu tư giữ đến ngày đáo hạn,8.1. Chứng khoán đầu tư giữ đến ngày đáo hạn,8.1. Chứng khoán đầu tư giữ đến ngày đáo hạn,8.1. Chứng khoán đầu tư giữ đến ngày đáo hạn,8.1. Chứng khoán đầu tư giữ đến ngày đáo hạn,,
,,,31/12/2024,31/12/2023,,
- Trái phiếu Chính phủ,8.1. Chứng khoán đầu tư giữ đến ngày đáo hạn > - Trái phiếu Chính phủ,- Trái phiếu Chính phủ,1.675.515,2.588.098,1675515.0,2588098.0
Cộng,8.1. Chứng khoán đầu tư giữ đến ngày đáo hạn > Cộng,Cộng,1.675.515,2.588.098,1675515.0,2588098.0
Tổng cộng,8.1. Chứng khoán đầu tư giữ đến ngày đáo hạn > Tổng cộng,Tổng cộng,2.973.962,3.378.950,2973962.0,3378950.0
