row_label_raw,row_label_full,col_0,Miền Bắc > Năm nay,Miền Bắc > Năm trước,Miền Trung > Năm nay,Miền Trung > Năm trước,Miền Nam > Năm nay,Miền Nam > Năm trước,Điều chỉnh > Năm nay,Điều chỉnh > Năm trước,Tổng > Năm nay,Tổng > Năm trước,numeric__Miền Bắc > Năm nay,numeric__Miền Bắc > Năm trước,numeric__Miền Trung > Năm nay,numeric__Miền Trung > Năm trước,numeric__Miền Nam > Năm nay,numeric__Miền Nam > Năm trước,numeric__Điều chỉnh > Năm nay,numeric__Điều chỉnh > Năm trước,numeric__Tổng > Năm nay,numeric__Tổng > Năm trước
I. Thu nhập,I. Thu nhập,I. Thu nhập,1.081.059,1.622.984,969.713,1.226.176,6.725.968,6.903.413,(406.962),(894.539),8.369.778,8.858.034,1081059.0,1622984.0,969713.0,1226176.0,6725968.0,6903413.0,-406962.0,-894539.0,8369778.0,8858034.0
1. Thu nhập lãi,1. Thu nhập lãi,1. Thu nhập lãi,875.775,1.253.602,897.240,1.183.902,5.745.193,6.236.464,(406.962),(894.539),7.111.246,7.779.429,875775.0,1253602.0,897240.0,1183902.0,5745193.0,6236464.0,-406962.0,-894539.0,7111246.0,7779429.0
2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,164.981,363.840,37.337,23.276,372.310,169.196,-,-,574.628,556.312,164981.0,363840.0,37337.0,23276.0,372310.0,169196.0,,,574628.0,556312.0
3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,40.303,5.542,35.136,18.998,608.465,497.753,-,-,683.904,522.293,40303.0,5542.0,35136.0,18998.0,608465.0,497753.0,,,683904.0,522293.0
II. Chi phí,II. Chi phí,II. Chi phí,613.008,1.063.162,824.700,1.133.437,5.404.026,6.419.407,(406.962),(894.539),6.434.772,7.721.467,613008.0,1063162.0,824700.0,1133437.0,5404026.0,6419407.0,-406962.0,-894539.0,6434772.0,7721467.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,487.975,948.702,626.589,937.131,3.212.418,4.750.029,(406.962),(894.539),3.920.020,5.741.323,487975.0,948702.0,626589.0,937131.0,3212418.0,4750029.0,-406962.0,-894539.0,3920020.0,5741323.0
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,831,764,7.374,7.638,73.434,64.084,-,-,81.639,72.486,831.0,764.0,7374.0,7638.0,73434.0,64084.0,,,81639.0,72486.0
3. Chi phí liên quan trực tiếp tới hoạt động kinh doanh,3. Chi phí liên quan trực tiếp tới hoạt động kinh doanh,3. Chi phí liên quan trực tiếp tới hoạt động kinh doanh,124.202,113.696,190.737,188.668,2.118.174,1.605.294,-,-,2.433.113,1.907.658,124202.0,113696.0,190737.0,188668.0,2118174.0,1605294.0,,,2433113.0,1907658.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,468.051,559.822,145.013,92.739,1.321.942,484.006,-,-,1.935.006,1.136.567,468051.0,559822.0,145013.0,92739.0,1321942.0,484006.0,,,1935006.0,1136567.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,69.472,37.592,82.621,141.259,670.855,239.069,-,-,822.948,417.920,69472.0,37592.0,82621.0,141259.0,670855.0,239069.0,,,822948.0,417920.0
Kết quả kinh doanh bộ phận trước thuế,Kết quả kinh doanh bộ phận trước thuế,Kết quả kinh doanh bộ phận trước thuế,398.579,522.230,62.392,(48.520),651.087,244.937,-,-,1.112.058,718.647,398579.0,522230.0,62392.0,-48520.0,651087.0,244937.0,,,1112058.0,718647.0
