row_label_raw,row_label_full,c. Tài sản và chứng từ khác,31/12/2024,31/12/2023,numeric__31/12/2024,numeric__31/12/2023
Tài sản khác giữ hộ,Tài sản khác giữ hộ,Tài sản khác giữ hộ,4.118.432,9.629.413,4118432.0,9629413.0
Các chứng từ có giá trị khác đang bảo quản,Các chứng từ có giá trị khác đang bảo quản,Các chứng từ có giá trị khác đang bảo quản,170.065,927.413,170065.0,927413.0
Tổng,Tổng,Tổng,4.288.497,10.556.826,4288497.0,10556826.0
