row_label_raw,row_label_full,Chỉ tiêu,Quá hạn > Trên 3 tháng,Quá hạn > Đến 3 tháng,Trong hạn > Đến 1 tháng,Trong hạn > Từ 1 - 3 tháng,Trong hạn > Từ 3 - 12 tháng,Trong hạn > Từ 1 - 5 năm,Trong hạn > Trên 5 năm,Tổng,numeric__Quá hạn > Trên 3 tháng,numeric__Quá hạn > Đến 3 tháng,numeric__Trong hạn > Đến 1 tháng,numeric__Trong hạn > Từ 1 - 3 tháng,numeric__Trong hạn > Từ 3 - 12 tháng,numeric__Trong hạn > Từ 1 - 5 năm,numeric__Trong hạn > Trên 5 năm,numeric__Tổng
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,660.595,-,-,-,-,660.595,,,660595.0,,,,,660595.0
Tiền gối tại ngân hàng Nhà nước,Tiền gối tại ngân hàng Nhà nước,Tiền gối tại ngân hàng Nhà nước,-,-,6.134.683,-,-,-,-,6.134.683,,,6134683.0,,,,,6134683.0
"Tiền, vàng gối tại và cho vay các TCTD khác (*)","Tiền, vàng gối tại và cho vay các TCTD khác (*)","Tiền, vàng gối tại và cho vay các TCTD khác (*)",-,-,15.525.552,-,2.847.950,-,-,18.373.502,,,15525552.0,,2847950.0,,,18373502.0
Cho vay khách hàng (*),Cho vay khách hàng (*),Cho vay khách hàng (*),1.001.571,623.705,4.041.883,5.617.345,22.681.141,14.634.360,3.183.047,51.783.052,1001571.0,623705.0,4041883.0,5617345.0,22681141.0,14634360.0,3183047.0,51783052.0
Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,-,-,-,796.897,2.588.098,3.384.995,,,,,,796897.0,2588098.0,3384995.0
Tài sản cố định và Bất động sản đầu tư,Tài sản cố định và Bất động sản đầu tư,Tài sản cố định và Bất động sản đầu tư,-,-,605.920,10,5.366,66.521,674.186,1.352.003,,,605920.0,10.0,5366.0,66521.0,674186.0,1352003.0
Tài sản Có khác (*),Tài sản Có khác (*),Tài sản Có khác (*),52.977,-,1.437.931,4.451.446,-,-,-,5.942.354,52977.0,,1437931.0,4451446.0,,,,5942354.0
Tổng Tài sản,Tổng Tài sản,Tổng Tài sản,1.054.548,623.705,28.406.564,10.068.801,25.534.457,15.497.778,6.445.331,87.631.184,1054548.0,623705.0,28406564.0,10068801.0,25534457.0,15497778.0,6445331.0,87631184.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,-,-,-,,,,,,,,,
Tiền gửi của và vay từ NHNN và các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác,-,-,15.268.267,-,2.842.357,7.601,705,18.118.930,,,15268267.0,,2842357.0,7601.0,705.0,18118930.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,18.048.584,13.358.546,24.510.109,979.467,1.016,56.897.722,,,18048584.0,13358546.0,24510109.0,979467.0,1016.0,56897722.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,25.404,-,-,-,-,25.404,,,25404.0,,,,,25404.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,199.200,31.600,1.928.100,1.300.191,3.459.091,,,,199200.0,31600.0,1928100.0,1300191.0,3459091.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,2.713.897,-,-,-,-,2.713.897,,,2713897.0,,,,,2713897.0
Tổng Nợ phải trả,Nợ phải trả > Tổng Nợ phải trả,Tổng Nợ phải trả,-,-,36.056.152,13.557.746,27.384.066,2.915.168,1.301.912,81.215.044,,,36056152.0,13557746.0,27384066.0,2915168.0,1301912.0,81215044.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,1.054.548,623.705,(7.649.588),(3.488.945),(1.849.609),12.582.610,5.143.419,6.416.140,1054548.0,623705.0,-7649588.0,-3488945.0,-1849609.0,12582610.0,5143419.0,6416140.0
