row_label_raw,row_label_full,Khoản mục,"Nhà cửa, vật kiến trúc",Máy móc thiết bị,Phương tiện vận tải truyền dẫn,Thiết bị dụng cụ quản lý,Tài sản cố định khác,Tổng cộng,"numeric__Nhà cửa, vật kiến trúc",numeric__Máy móc thiết bị,numeric__Phương tiện vận tải truyền dẫn,numeric__Thiết bị dụng cụ quản lý,numeric__Tài sản cố định khác,numeric__Tổng cộng
Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,729.020,74.349,137.505,131.962,22.838,1.095.674,729020.0,74349.0,137505.0,131962.0,22838.0,1095674.0
- Mua trong năm,Nguyên giá TSCĐ hữu hình > - Mua trong năm,- Mua trong năm,-,2.367,-,1.401,-,3.768,,2367.0,,1401.0,,3768.0
- Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá TSCĐ hữu hình > - Đầu tư xây dựng cơ bản hoàn thành,- Đầu tư xây dựng cơ bản hoàn thành,92,-,7.940,-,-,8.032,92.0,,7940.0,,,8032.0
"- Thanh lý, nhượng bán","Nguyên giá TSCĐ hữu hình > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(16),(262),-,(75),-,(353),-16.0,-262.0,,-75.0,,-353.0
- Phân loại lại,Nguyên giá TSCĐ hữu hình > - Phân loại lại,- Phân loại lại,-,75,-,(75),(34),(34),,75.0,,-75.0,-34.0,-34.0
- Giảm do điều chỉnh,- Giảm do điều chỉnh,- Giảm do điều chỉnh,-,-,-,-,-,-,,,,,,
Số dư cuối năm,- Giảm do điều chỉnh > Số dư cuối năm,Số dư cuối năm,729.096,76.529,145.445,133.213,22.804,1.107.087,729096.0,76529.0,145445.0,133213.0,22804.0,1107087.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,189.340,42.625,94.925,101.197,14.148,442.235,189340.0,42625.0,94925.0,101197.0,14148.0,442235.0
- Hao mòn trong năm,Giá trị hao mòn lũy kế > - Hao mòn trong năm,- Hao mòn trong năm,28.382,5.571,9.376,9.667,734,53.730,28382.0,5571.0,9376.0,9667.0,734.0,53730.0
- Hao mòn trong năm (công ty con),Giá trị hao mòn lũy kế > - Hao mòn trong năm (công ty con),- Hao mòn trong năm (công ty con),-,-,230,30,-,260,,,230.0,30.0,,260.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(16),(218),-,-,-,(234),-16.0,-218.0,,,,-234.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,217.706,47.978,104.531,110.894,14.882,495.991,217706.0,47978.0,104531.0,110894.0,14882.0,495991.0
Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,,,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,539.680,31.724,42.580,30.765,8.690,653.439,539680.0,31724.0,42580.0,30765.0,8690.0,653439.0
Số dư cuối năm,Giá trị còn lại của TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,511.390,28.551,40.914,22.319,7.922,611.096,511390.0,28551.0,40914.0,22319.0,7922.0,611096.0
