row_label_raw,row_label_full,Chỉ tiêu,31/12/2024,31/12/2023,numeric__31/12/2024,numeric__31/12/2023
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,-,-,,
Cam kết giao dịch ngoại hồi,Bảo lãnh vay vốn > Cam kết giao dịch ngoại hồi,Cam kết giao dịch ngoại hồi,19.422.623,8.878.747,19422623.0,8878747.0
Cam kết mua ngoại tệ,Bảo lãnh vay vốn > Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,2.126.880,-,2126880.0,
Cam kết bán ngoại tệ,Bảo lãnh vay vốn > Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,708.960,729.000,708960.0,729000.0
Cam kết giao dịch hoán đối,Bảo lãnh vay vốn > Cam kết giao dịch hoán đối,Cam kết giao dịch hoán đối,16.586.783,8.149.747,16586783.0,8149747.0
Cam kết trong nghiệp vụ L/C,Bảo lãnh vay vốn > Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,4.005.233,416,4005233.0,416.0
Cam kết thanh toán trong nghiệp vụ L/C,Bảo lãnh vay vốn > Cam kết thanh toán trong nghiệp vụ L/C,Cam kết thanh toán trong nghiệp vụ L/C,4.006.085,486,4006085.0,486.0
Trừ tiền kỹ quỹ,Bảo lãnh vay vốn > Trừ tiền kỹ quỹ,Trừ tiền kỹ quỹ,(852),(70),-852.0,-70.0
Các cam kết khác,Bảo lãnh vay vốn > Các cam kết khác,Các cam kết khác,4.129.036,362.814,4129036.0,362814.0
Bảo lãnh thanh toán,Bảo lãnh vay vốn > Bảo lãnh thanh toán,Bảo lãnh thanh toán,3.599.309,207.121,3599309.0,207121.0
Bảo lãnh thực hiện hợp đồng,Bảo lãnh vay vốn > Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,68.058,54.384,68058.0,54384.0
Bảo lãnh dự thầu,Bảo lãnh vay vốn > Bảo lãnh dự thầu,Bảo lãnh dự thầu,1.037,475,1037.0,475.0
Cam kết bào lãnh khác,Bảo lãnh vay vốn > Cam kết bào lãnh khác,Cam kết bào lãnh khác,462.983,103.950,462983.0,103950.0
Trừ tiền kỹ quỹ bảo lãnh,Bảo lãnh vay vốn > Trừ tiền kỹ quỹ bảo lãnh,Trừ tiền kỹ quỹ bảo lãnh,(2.351),(3.116),-2351.0,-3116.0
Tổng,Bảo lãnh vay vốn > Tổng,Tổng,27.556.892,9.241.977,27556892.0,9241977.0
