row_label_raw,row_label_full,col_0,Tính chất giao dịch,31/12/2024,31/12/2023,numeric__Tính chất giao dịch,numeric__31/12/2024,numeric__31/12/2023
Công nợ phải thu,Công nợ phải thu,Công nợ phải thu,,252,4.458,,252.0,4458.0
Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Cho vay,89,139,,89.0,139.0
Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,Cho vay,25,-,,25.0,
Các công ty và cá nhân có liên quan đến thành viên Hội đồng Quản trị,Các công ty và cá nhân có liên quan đến thành viên Hội đồng Quản trị,Các công ty và cá nhân có liên quan đến thành viên Hội đồng Quản trị,Cho vay,109,132,,109.0,132.0
Các công ty và cá nhân có liên quan đến thành viên Ban Tổng Giám đốc,Các công ty và cá nhân có liên quan đến thành viên Ban Tổng Giám đốc,Các công ty và cá nhân có liên quan đến thành viên Ban Tổng Giám đốc,Cho vay,28,4.187,,28.0,4187.0
