row_label_raw,row_label_full,Tại ngày cuối năm,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng) > Tại ngày cuối năm,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Tài sản > Tại ngày cuối năm,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Công nợ > Tại ngày cuối năm,numeric__Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng) > Tại ngày cuối năm,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Tài sản > Tại ngày cuối năm,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Công nợ > Tại ngày cuối năm
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,2.191.644,-,112.476,2191644.0,,112476.0
- Giao dịch hoán đổi tiền tệ,- Giao dịch hoán đổi tiền tệ,- Giao dịch hoán đổi tiền tệ,1.944.849,-,106.071,1944849.0,,106071.0
- Giao dịch kỳ hạn tiền tệ,- Giao dịch kỳ hạn tiền tệ,- Giao dịch kỳ hạn tiền tệ,246.795,-,6.405,246795.0,,6405.0
Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,,,
Công cụ tài chính phải sinh tiền tệ,Tại ngày đầu năm > Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,1.769.140,-,25.404,1769140.0,,25404.0
- Giao dịch hoán đổi tiền tệ,Tại ngày đầu năm > - Giao dịch hoán đổi tiền tệ,- Giao dịch hoán đổi tiền tệ,360.190,-,19.990,360190.0,,19990.0
- Giao dịch kỳ hạn tiền tệ,Tại ngày đầu năm > - Giao dịch kỳ hạn tiền tệ,- Giao dịch kỳ hạn tiền tệ,1.408.950,-,5.414,1408950.0,,5414.0
6. Cho vay khách hàng,6. Cho vay khách hàng,6. Cho vay khách hàng,6. Cho vay khách hàng,6. Cho vay khách hàng,6. Cho vay khách hàng,,,
,,,,31/12/2024,31/12/2023,,,
"Cho vay các tổ chức kinh tế, cá nhân trong nước","6. Cho vay khách hàng > Cho vay các tổ chức kinh tế, cá nhân trong nước","Cho vay các tổ chức kinh tế, cá nhân trong nước","Cho vay các tổ chức kinh tế, cá nhân trong nước",61.431.909,51.783.052,,61431909.0,51783052.0
Tổng cộng,6. Cho vay khách hàng > Tổng cộng,Tổng cộng,Tổng cộng,61.431.909,51.783.052,,61431909.0,51783052.0
6.1. Phân tích chất lượng nợ cho vay,6.1. Phân tích chất lượng nợ cho vay,6.1. Phân tích chất lượng nợ cho vay,6.1. Phân tích chất lượng nợ cho vay,6.1. Phân tích chất lượng nợ cho vay,6.1. Phân tích chất lượng nợ cho vay,,,
,,,,31/12/2024,31/12/2023,,,
Nợ đủ tiêu chuẩn,6.1. Phân tích chất lượng nợ cho vay > Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,59.353.660,50.157.776,,59353660.0,50157776.0
Nợ cần chú ý,6.1. Phân tích chất lượng nợ cho vay > Nợ cần chú ý,Nợ cần chú ý,Nợ cần chú ý,837.674,623.705,,837674.0,623705.0
Nợ dưới tiêu chuẩn,6.1. Phân tích chất lượng nợ cho vay > Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,231.594,229.607,,231594.0,229607.0
Nợ nghi ngờ,6.1. Phân tích chất lượng nợ cho vay > Nợ nghi ngờ,Nợ nghi ngờ,Nợ nghi ngờ,170.332,320.567,,170332.0,320567.0
Nợ có khả năng mất vốn,6.1. Phân tích chất lượng nợ cho vay > Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,838.649,451.397,,838649.0,451397.0
Tổng cộng,6.1. Phân tích chất lượng nợ cho vay > Tổng cộng,Tổng cộng,Tổng cộng,61.431.909,51.783.052,,61431909.0,51783052.0
6.2. Phân tích dư nợ theo thời gian,6.2. Phân tích dư nợ theo thời gian,6.2. Phân tích dư nợ theo thời gian,6.2. Phân tích dư nợ theo thời gian,31/12/2024,31/12/2023,,,
Nợ ngắn hạn,6.2. Phân tích dư nợ theo thời gian > Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,38.555.215,30.074.064,,38555215.0,30074064.0
Nợ trung hạn,6.2. Phân tích dư nợ theo thời gian > Nợ trung hạn,Nợ trung hạn,Nợ trung hạn,19.621.779,17.963.067,,19621779.0,17963067.0
Nợ dài hạn,6.2. Phân tích dư nợ theo thời gian > Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,3.254.915,3.745.921,,3254915.0,3745921.0
Tổng cộng,6.2. Phân tích dư nợ theo thời gian > Tổng cộng,Tổng cộng,Tổng cộng,61.431.909,51.783.052,,61431909.0,51783052.0
