row_label_raw,row_label_full,- Thuyết minh theo loại tiền gửi,- Thuyết minh theo loại tiền gửi > 31/12/2024,- Thuyết minh theo loại tiền gửi > 31/12/2023,numeric__- Thuyết minh theo loại tiền gửi > 31/12/2024,numeric__- Thuyết minh theo loại tiền gửi > 31/12/2023
"Tiền, vàng gửi không kỳ hạn","Tiền, vàng gửi không kỳ hạn","Tiền, vàng gửi không kỳ hạn",4.076.479,3.403.885,4076479.0,3403885.0
- Bằng VND,- Bằng VND,- Bằng VND,4.068.345,3.391.625,4068345.0,3391625.0
- Bằng vàng và ngoại tệ,- Bằng vàng và ngoại tệ,- Bằng vàng và ngoại tệ,8.134,12.260,8134.0,12260.0
"Tiền, vàng gửi có kỳ hạn","Tiền, vàng gửi có kỳ hạn","Tiền, vàng gửi có kỳ hạn",2.043.514,1.889.810,2043514.0,1889810.0
- Bằng VND,- Bằng VND,- Bằng VND,2.043.514,1.889.810,2043514.0,1889810.0
- Bằng vàng và ngoại tệ,- Bằng vàng và ngoại tệ,- Bằng vàng và ngoại tệ,-,-,,
Tiền gửi tiết kiệm không kỳ hạn,- Bằng vàng và ngoại tệ > Tiền gửi tiết kiệm không kỳ hạn,Tiền gửi tiết kiệm không kỳ hạn,15.189,11.817,15189.0,11817.0
- Bằng VND,- Bằng vàng và ngoại tệ > - Bằng VND,- Bằng VND,11.527,8.729,11527.0,8729.0
- Bằng ngoại tệ,- Bằng vàng và ngoại tệ > - Bằng ngoại tệ,- Bằng ngoại tệ,3.662,3.088,3662.0,3088.0
Tiền gửi tiết kiệm có kỳ hạn,- Bằng vàng và ngoại tệ > Tiền gửi tiết kiệm có kỳ hạn,Tiền gửi tiết kiệm có kỳ hạn,57.376.816,51.582.642,57376816.0,51582642.0
- Bằng VND,- Bằng vàng và ngoại tệ > - Bằng VND,- Bằng VND,57.335.634,51.537.924,57335634.0,51537924.0
- Bằng ngoại tệ,- Bằng vàng và ngoại tệ > - Bằng ngoại tệ,- Bằng ngoại tệ,41.182,44.718,41182.0,44718.0
Tiền gửi ký quỹ,- Bằng vàng và ngoại tệ > Tiền gửi ký quỹ,Tiền gửi ký quỹ,9.496,9.568,9496.0,9568.0
- Bằng VND,- Bằng vàng và ngoại tệ > - Bằng VND,- Bằng VND,9.496,9.568,9496.0,9568.0
Tổng cộng,- Bằng vàng và ngoại tệ > Tổng cộng,Tổng cộng,63.521.494,56.897.722,63521494.0,56897722.0
"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp","- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp","- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp",31/12/2024,31/12/2023,,
Tiền gửi của TCKT,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Tiền gửi của TCKT",Tiền gửi của TCKT,3.484.625,3.453.819,3484625.0,3453819.0
Công ty TNHH,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Công ty TNHH",Công ty TNHH,868.050,542.604,868050.0,542604.0
Công ty Cổ phần,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Công ty Cổ phần",Công ty Cổ phần,1.538.298,1.239.037,1538298.0,1239037.0
Doanh nghiệp tư nhân,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Doanh nghiệp tư nhân",Doanh nghiệp tư nhân,1.519,628,1519.0,628.0
Các tổ chức khác,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Các tổ chức khác",Các tổ chức khác,1.076.758,1.671.550,1076758.0,1671550.0
Tiền gửi của cá nhân,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Tiền gửi của cá nhân",Tiền gửi của cá nhân,60.036.869,53.443.903,60036869.0,53443903.0
Tổng cộng,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Tổng cộng",Tổng cộng,63.521.494,56.897.722,63521494.0,56897722.0
"19. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro: Không phát sinh","19. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro: Không phát sinh","19. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro: Không phát sinh","19. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro: Không phát sinh","19. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro: Không phát sinh",,
20. Phát hành giấy tờ có giá thông thường:,20. Phát hành giấy tờ có giá thông thường:,20. Phát hành giấy tờ có giá thông thường:,31/12/2024,31/12/2023,,
Chứng chỉ tiền gửi,20. Phát hành giấy tờ có giá thông thường: > Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,3.128.457,3.459.091,3128457.0,3459091.0
- Bằng VND,20. Phát hành giấy tờ có giá thông thường: > - Bằng VND,- Bằng VND,3.128.457,3.459.091,3128457.0,3459091.0
Trái phiếu (**),20. Phát hành giấy tờ có giá thông thường: > Trái phiếu (**),Trái phiếu (**),800.000,-,800000.0,
- Bằng VND,20. Phát hành giấy tờ có giá thông thường: > - Bằng VND,- Bằng VND,800.000,-,800000.0,
Tổng cộng,20. Phát hành giấy tờ có giá thông thường: > Tổng cộng,Tổng cộng,3.928.457,3.459.091,3928457.0,3459091.0
