row_label_raw,row_label_full,col_0,Miền Bắc > Số cuối kỳ,Miền Bắc > Số đầu năm,Miền Trung > Số cuối kỳ,Miền Trung > Số đầu năm,Miền Nam > Số cuối kỳ,Miền Nam > Số đầu năm,Điều chỉnh > Số cuối kỳ,Điều chỉnh > Số đầu năm,Tong > Số cuối kỳ,Tong > Số đầu năm,numeric__Miền Bắc > Số cuối kỳ,numeric__Miền Bắc > Số đầu năm,numeric__Miền Trung > Số cuối kỳ,numeric__Miền Trung > Số đầu năm,numeric__Miền Nam > Số cuối kỳ,numeric__Miền Nam > Số đầu năm,numeric__Điều chỉnh > Số cuối kỳ,numeric__Điều chỉnh > Số đầu năm,numeric__Tong > Số cuối kỳ,numeric__Tong > Số đầu năm
I. Tài sản,I. Tài sản,I. Tài sản,8.401.477,19.216.008,7.647.444,5.050.489,76.127.347,62.706.105,-,-,92.176.268,86.972.602,8401477.0,19216008.0,7647444.0,5050489.0,76127347.0,62706105.0,,,92176268.0,86972602.0
1. Tiền mặt,1. Tiền mặt,1. Tiền mặt,35.016,50.693,83.790,108.259,419.604,501.643,,,538.410,660.595,35016.0,50693.0,83790.0,108259.0,419604.0,501643.0,,,538410.0,660595.0
2. Tài sản cố định,2. Tài sản cố định,2. Tài sản cố định,5.076,2.804,233.737,237.513,1.176.148,1.111.686,,,1.414.961,1.352.003,5076.0,2804.0,233737.0,237513.0,1176148.0,1111686.0,,,1414961.0,1352003.0
3. Tài sản khác,3. Tài sản khác,3. Tài sản khác,8.361.385,19.162.511,7.329.917,4.704.717,74.531.595,61.092.776,,,90.222.897,84.960.004,8361385.0,19162511.0,7329917.0,4704717.0,74531595.0,61092776.0,,,90222897.0,84960004.0
II. Nợ phải trả,II. Nợ phải trả,II. Nợ phải trả,8.000.740,8.238.086,13.262.876,10.846.740,64.307.700,62.130.218,-,-,85.571.316,81.215.044,8000740.0,8238086.0,13262876.0,10846740.0,64307700.0,62130218.0,,,85571316.0,81215044.0
1. Nợ phải trả khách hàng,1. Nợ phải trả khách hàng,1. Nợ phải trả khách hàng,7.997.982,8.231.911,13.261.199,10.844.097,62.430.847,61.032.705,,,83.690.028,80.108.713,7997982.0,8231911.0,13261199.0,10844097.0,62430847.0,61032705.0,,,83690028.0,80108713.0
2. Nợ phải trả khác,2. Nợ phải trả khác,2. Nợ phải trả khác,2.758,6.175,1.677,2.643,1.876.853,1.097.513,,,1.881.288,1.106.331,2758.0,6175.0,1677.0,2643.0,1876853.0,1097513.0,,,1881288.0,1106331.0
