row_label_raw,row_label_full,col_0,2022VND'000,2021VND'000,numeric__2022VND'000,numeric__2021VND'000
Interest income,Interest income,Interest income,"38,709","1,011,870",38.709,
Distribution of profit from BCC,Distribution of profit from BCC,Distribution of profit from BCC,"281,490,988","279,984,083",,
Others,Distribution of profit from BCC > Others,Others,"3,791",-,3.791,
,,,"281,533,488","280,995,953",,
