row_label_raw,row_label_full,Các bên liên quan,Bản chất của giao dịch,2022Nghìn VND,2021Nghìn VND,numeric__Bản chất của giao dịch,numeric__2022Nghìn VND,numeric__2021Nghìn VND
Các công ty liên kết của công ty mẹ cấp cao nhất,Các công ty liên kết của công ty mẹ cấp cao nhất,Các công ty liên kết của công ty mẹ cấp cao nhất,Các công ty liên kết của công ty mẹ cấp cao nhất,Các công ty liên kết của công ty mẹ cấp cao nhất,Các công ty liên kết của công ty mẹ cấp cao nhất,,,
TCB và các công ty con,Các công ty liên kết của công ty mẹ cấp cao nhất > TCB và các công ty con,TCB và các công ty con,Lãi trái phiếu,14.419.467,24.828.109,,14419467.0,24828109.0
TCB và các công ty con,Các công ty liên kết của công ty mẹ cấp cao nhất > TCB và các công ty con,TCB và các công ty con,Tiền thu được từ phát hành trái phiếu (i),-,1.000.000.000,,,1000000000.0
TCB và các công ty con,Các công ty liên kết của công ty mẹ cấp cao nhất > TCB và các công ty con,TCB và các công ty con,Mua lại trái phiếu,-,109.198.100,,,109198100.0
TCB và các công ty con,Các công ty liên kết của công ty mẹ cấp cao nhất > TCB và các công ty con,TCB và các công ty con,Mua chứng khoán kinh doanh,-,18.118.800,,,18118800.0
TCB và các công ty con,Các công ty liên kết của công ty mẹ cấp cao nhất > TCB và các công ty con,TCB và các công ty con,Bán chứng khoán kinh doanh,-,18.208.080,,,18208080.0
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,,
Công ty TNHH Khai thác,Các công ty con > Công ty TNHH Khai thác,Công ty TNHH Khai thác,Phân chia lợi nhuận từ HĐHTKD,174.585.826,188.143.785,,174585826.0,188143785.0
Chế biến Khoáng sản Núi,Các công ty con > Chế biến Khoáng sản Núi,Chế biến Khoáng sản Núi,Trả hộ NPM,4.377.545,22.799.957,,4377545.0,22799957.0
Pháo,Các công ty con > Pháo,Pháo,Trả hộ MHT,3.907.531,22.011.726,,3907531.0,22011726.0
Công ty TNHH,Các công ty con > Công ty TNHH,Công ty TNHH,Phân chia lợi nhuận từ HĐHTKD,106.905.162,91.840.299,,106905162.0,91840299.0
Vonfram Masan,Các công ty con > Vonfram Masan,Vonfram Masan,Nhận tiền vay,-,39.200.000,,,39200000.0
Vonfram Masan,Các công ty con > Vonfram Masan,Vonfram Masan,Trả tiền vay,-,18.000.000,,,18000000.0
Vonfram Masan,Các công ty con > Vonfram Masan,Vonfram Masan,Trả lãi vay,-,41.030,,,41030.0
Vonfram Masan,Các công ty con > Vonfram Masan,Vonfram Masan,Chi phí lãi vay,678.400,199.014,,678400.0,199014.0
Vonfram Masan,Các công ty con > Vonfram Masan,Vonfram Masan,Trả hộ MTC,-,895.496,,,895496.0
Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,,,
,,,"Lương, thường và các phúc lợi khác (ii)",-,-,,,
