row_label_raw,row_label_full,col_0,2022VND’000,2021VND’000,numeric__2022VND’000,numeric__2021VND’000
Accounting profit before tax,Accounting profit before tax,Accounting profit before tax,"889,435","839,074",889.435,839.074
Tax at the Company tax rate,Tax at the Company tax rate,Tax at the Company tax rate,"177,887","167,815",177.887,167.815
Non-deductible expenses,Non-deductible expenses,Non-deductible expenses,"21,276","20,904",21.276,20.904
(Over)/under provision in prior year,(Over)/under provision in prior year,(Over)/under provision in prior year,"(20,904)","140,197",-20.904,140.197
,,,"178,259","328,916",178.259,328.916
