row_label_raw,row_label_full,col_0,Code,Note,2022VND'000,2021VND'000,numeric__Code,numeric__Note,numeric__2022VND'000,numeric__2021VND'000
CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,,,,
Profit before tax,CASH FLOWS FROM OPERATING ACTIVITIES > Profit before tax,Profit before tax,01,,"889,435","839,074",1.0,,889.435,839.074
Adjustments for Profits from investing activities,CASH FLOWS FROM OPERATING ACTIVITIES > Adjustments for Profits from investing activities,Adjustments for Profits from investing activities,05,,"(281,529,697)","(280,995,953)",5.0,,,
Interest expense and borrowing fees,CASH FLOWS FROM OPERATING ACTIVITIES > Interest expense and borrowing fees,Interest expense and borrowing fees,06,,"272,705,479","272,008,141",6.0,,,
Operating loss before changes in working capital,CASH FLOWS FROM OPERATING ACTIVITIES > Operating loss before changes in working capital,Operating loss before changes in working capital,08,,"(7,934,783)","(8,148,738)",8.0,,,
Change in receivables and other assets,CASH FLOWS FROM OPERATING ACTIVITIES > Change in receivables and other assets,Change in receivables and other assets,09,,"14,970,483","(23,690,110)",9.0,,,
Change in payables and other liabilities,CASH FLOWS FROM OPERATING ACTIVITIES > Change in payables and other liabilities,Change in payables and other liabilities,11,,"1,498,418","507,671",11.0,,,507.671
,,,,,"8,534,118","(31,331,177)",,,,
Interest paid,CASH FLOWS FROM OPERATING ACTIVITIES > Interest paid,Interest paid,14,,"(267,386,393)","(269,138,899)",14.0,,,
Income tax paid,CASH FLOWS FROM OPERATING ACTIVITIES > Income tax paid,Income tax paid,15,,"(167,815)","(245,627)",15.0,,-167.815,-245.627
Net cash flows from operating activities,CASH FLOWS FROM OPERATING ACTIVITIES > Net cash flows from operating activities,Net cash flows from operating activities,20,,"(259,020,090)","(300,715,703)",20.0,,,
CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,,,,
Payments for additions to fixed assets and other long-term assets,CASH FLOWS FROM INVESTING ACTIVITIES > Payments for additions to fixed assets and other long-term assets,Payments for additions to fixed assets and other long-term assets,21,,"(15,810,430)",-,21.0,,,
Receipts of interests and dividend,CASH FLOWS FROM INVESTING ACTIVITIES > Receipts of interests and dividend,Receipts of interests and dividend,27,,"270,382,512","276,001,125",27.0,,,
Net cash flows from investing activities,CASH FLOWS FROM INVESTING ACTIVITIES > Net cash flows from investing activities,Net cash flows from investing activities,30,,"254,572,082","276,001,125",30.0,,,
