row_label_raw,row_label_full,col_0,31/12/2022VND’000,1/1/2022VND’000,numeric__31/12/2022VND’000,numeric__1/1/2022VND’000
Other short-term receivables,Other short-term receivables,Other short-term receivables,Other short-term receivables,Other short-term receivables,,
Distribution of profit receivable from BCC (a),Distribution of profit receivable from BCC (a),Distribution of profit receivable from BCC (a),"66,104,124","54,956,939",,
Other receivable from subsidiaries,Other receivable from subsidiaries,Other receivable from subsidiaries,"5,311,259","23,695,453",,
Receivables under BCC with MTC (c),Receivables under BCC with MTC (c),Receivables under BCC with MTC (c),"1,000,000,000",-,,
Others,Receivables under BCC with MTC (c) > Others,Others,"55,000","55,000",55.0,55.0
,,,"1,071,470,383","78,707,392",,
Other long-term receivables,Other long-term receivables,Other long-term receivables,Other long-term receivables,Other long-term receivables,,
Receivables under BCC with NPM (b),Receivables under BCC with NPM (b),Receivables under BCC with NPM (b),"2,000,000,000","2,000,000,000",,
Receivables under BCC with MTC (c),Receivables under BCC with MTC (c),Receivables under BCC with MTC (c),-,"1,000,000,000",,
,,,"2,000,000,000","3,000,000,000",,
