row_label_raw,row_label_full,col_0,2022VND’000,2021VND’000,numeric__2022VND’000,numeric__2021VND’000
Interest expense,Interest expense,Interest expense,"272,615,389","271,523,054",,
Borrowing fees,Interest expense > Borrowing fees,Borrowing fees,"90,090","485,087",90.09,485.087
Others,Interest expense > Others,Others,"27,093",-,27.093,
,,,"272,732,572","272,008,141",,
