row_label_raw,row_label_full,col_0,2022VND'000,2021VND'000,numeric__2022VND'000,numeric__2021VND'000
Opening balance,Opening balance,Opening balance,"24,963,257",-,,
Additions during the year,Additions during the year,Additions during the year,"24,067,642","24,963,257",,
Other movement,Other movement,Other movement,"(16,614,198)",-,,
Closing balance,Closing balance,Closing balance,"32,416,701","24,963,257",,
