row_label_raw,row_label_full,col_0,1/1/2022Carrying amount &amount withinrepayment capacityVND’000,Movement during the year > AdditionsVND’000,Movement during the year > PaymentsVND’000,31/12/2022Carrying amount &amount withinrepayment capacity(Note 2(c))VND’000,numeric__1/1/2022Carrying amount &amount withinrepayment capacityVND’000,numeric__Movement during the year > AdditionsVND’000,numeric__Movement during the year > PaymentsVND’000,numeric__31/12/2022Carrying amount &amount withinrepayment capacity(Note 2(c))VND’000
Short-term borrowings (*),Short-term borrowings (*),Short-term borrowings (*),"21,200,000",-,-,"21,200,000",,,,
Current portion of long-term bonds (Note 10(b)),Current portion of long-term bonds (Note 10(b)),Current portion of long-term bonds (Note 10(b)),-,"1,500,000,000",-,"1,500,000,000",,,,
,,,"21,200,000","1,500,000,000",-,"1,521,200,000",,,,
