row_label_raw,row_label_full,Ông Craig Richard Bradshaw,Tổng Giám đốc,numeric__Tổng Giám đốc
Ông Hady Seyeda,Ông Hady Seyeda,Ông Hady Seyeda,Phó Tổng Giám đốc,
Bà Đình Lê Hằng,Bà Đình Lê Hằng,Bà Đình Lê Hằng,Phó Tổng Giám đốc(từ ngày 20 tháng 2 năm 2023),
Ông Nguyễn Huy Tuán,Ông Nguyễn Huy Tuán,Ông Nguyễn Huy Tuán,Quyển Giám đốc Tài chính(từ ngày 1 tháng 7 năm 2022),
Ông Stuart James Wells,Ông Stuart James Wells,Ông Stuart James Wells,Giám đốc Tài chính(đến ngày 30 tháng 6 năm 2022),
