row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Đơn vị tính: VND > Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016 (Trình bày lại),numeric__Đơn vị tính: VND > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,numeric__Đơn vị tính: VND > Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016 (Trình bày lại)
Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,,
"Thu nhập từ tiền đến bù, tiền bởi thường","Thu nhập khác > Thu nhập từ tiền đến bù, tiền bởi thường","Thu nhập từ tiền đến bù, tiền bởi thường",1.682.918.488,1.670.771.500,1682918488.0,1670771500.0
"Thanh lý, nhượng bán TSCĐ","Thu nhập khác > Thanh lý, nhượng bán TSCĐ","Thanh lý, nhượng bán TSCĐ",6.605.737.381,-,6605737381.0,
Thu nhập từ hợp tác kinh doanh và cho thuê tài sản,Thu nhập khác > Thu nhập từ hợp tác kinh doanh và cho thuê tài sản,Thu nhập từ hợp tác kinh doanh và cho thuê tài sản,1.450.586.500,-,1450586500.0,
"Thanh lý phế liệu thu hồi, hàng tận dụng, kém phẩm chất","Thu nhập khác > Thanh lý phế liệu thu hồi, hàng tận dụng, kém phẩm chất","Thanh lý phế liệu thu hồi, hàng tận dụng, kém phẩm chất",815.196.840,-,815196840.0,
Phí dịch vụ bảo vệ môi trường rừng,Thu nhập khác > Phí dịch vụ bảo vệ môi trường rừng,Phí dịch vụ bảo vệ môi trường rừng,725.319.280,362.738.067,725319280.0,362738067.0
Thu nhập khác,Thu nhập khác > Thu nhập khác,Thu nhập khác,4.396.314.751,3.167.354.634,4396314751.0,3167354634.0
,,,15.676.073.240,5.200.864.201,15676073240.0,5200864201.0
Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,,
Xử lý giá trị đầu tư rừng trồng tổn thất,Chi phí khác > Xử lý giá trị đầu tư rừng trồng tổn thất,Xử lý giá trị đầu tư rừng trồng tổn thất,1.422.235.000,743.708.976,1422235000.0,743708976.0
Các khoản phạt,Chi phí khác > Các khoản phạt,Các khoản phạt,3.036.755.098,-,3036755098.0,
Chi phí khác,Chi phí khác > Chi phí khác,Chi phí khác,2.243.207.242,2.118.407.961,2243207242.0,2118407961.0
,,,6.702.197.340,2.862.116.937,6702197340.0,2862116937.0
LỢI NHUẬN KHÁC THUẬN,Chi phí khác > LỢI NHUẬN KHÁC THUẬN,LỢI NHUẬN KHÁC THUẬN,8.973.875.900,2.338.747.264,8973875900.0,2338747264.0
