row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016 (Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,numeric__Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016 (Trình bày lại)
,,,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỒNG TÀI CHÍNH,,,,,,,
31,31,31,"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu (bao gồm vốn góp từ cổ đồng không kiểm soát)",,3.764.670.000,-,,,3764670000.0,
32,32,32,Khoản nộp về Quỹ Hỗ trợ sắp xếp doanh nghiệp phát sinh từ cổ phần hóa Tổng Công ty,,(528.106.579.783),(1.620.814.208.133),,,-528106579783.0,-1620814208133.0
33,33,33,Tiền thu từ đi vay,,567.523.131.563,184.816.181.657,,,567523131563.0,184816181657.0
34,34,34,Tiền trả nợ gốc vay,,(594.215.018.912),(162.105.725.532),,,-594215018912.0,-162105725532.0
36,36,36,Cổ tức đã trả cho chủ sở hữu (bao gồm lợi nhuận chuyển về cho ngân sách Nhà nước cho giai đoạn Tổng Công ty là doanh nghiệp Nhà nước và cổ tức chi trả cho cổ đồng không kiểm soát),,(126.209.727.404),(143.721.848.597),,,-126209727404.0,-143721848597.0
40,40,40,Lưu chuyển tiền thuần sử dụng vào hoạt động tài chính,,(677.243.524.536),(1.741.825.600.605),,,-677243524536.0,-1741825600605.0
50,50,50,Lưu chuyển tiền thuần trong năm/kỳ,,85.747.841.718,(1.780.086.458.194),,,85747841718.0,-1780086458194.0
60,60,60,Tiền và tương đương tiền đầu năm/kỳ,,103.572.688.236,1.883.659.146.430,,,103572688236.0,1883659146430.0
61,61,61,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,54.884.166,-,,,54884166.0,
70,70,70,Tiền và tương đương tiền cuối năm/kỳ,4,189.375.414.120,103.572.688.236,,4.0,189375414120.0,103572688236.0
