row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số cuối năm(Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số cuối năm(Trình bày lại)
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,9.564.093.730,8.976.131.502,9564093730.0,8976131502.0
"Chi phí trồng, chăm sóc và khai thác rừng","Chi phí trồng, chăm sóc và khai thác rừng","Chi phí trồng, chăm sóc và khai thác rừng",2.902.085.463,1.762.910.483,2902085463.0,1762910483.0
Chi phí tư vấn,Chi phí tư vấn,Chi phí tư vấn,-,1.105.000.000,,1105000000.0
Các khoản khác,Các khoản khác,Các khoản khác,8.509.600.735,5.075.535.515,8509600735.0,5075535515.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,20.975.779.928,16.919.577.500,20975779928.0,16919577500.0
