row_label_raw,row_label_full,col_0,Lợi ích thuộc cổ đông công ty mẹ,Lợi ích thuộc cổ đông công ty mẹ_1,Lợi ích thuộc cổ đông công ty mẹ_2,Lợi ích thuộc cổ đông công ty mẹ_3,Lợi ích thuộc cổ đông công ty mẹ_4,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Lợi ích thuộc cổ đông công ty mẹ,numeric__Lợi ích thuộc cổ đông công ty mẹ_1,numeric__Lợi ích thuộc cổ đông công ty mẹ_2,numeric__Lợi ích thuộc cổ đông công ty mẹ_3,numeric__Lợi ích thuộc cổ đông công ty mẹ_4,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
,,,Vốn cổ phần đã phát hành,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,,,,,,,
Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016 (Trình bày lại),Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016 (Trình bày lại),Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016 (Trình bày lại),Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016 (Trình bày lại),Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016 (Trình bày lại),Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016 (Trình bày lại),Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016 (Trình bày lại),Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016 (Trình bày lại),Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016 (Trình bày lại),Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016 (Trình bày lại),,,,,,,
Số đầu kỳ,Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016 (Trình bày lại) > Số đầu kỳ,Số đầu kỳ,3.500.000.000.000,-,153.354.138,-,(7.710.521.523),61.637.270.813,3.554.080.103.428,3500000000000.0,,153354138.0,,-7710521523.0,61637270813.0,3554080103428.0
- Lợi nhuận thuần trong kỳ,Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016 (Trình bày lại) > - Lợi nhuận thuần trong kỳ,- Lợi nhuận thuần trong kỳ,-,-,-,-,377.899.125.125,2.674.868.421,380.573.993.546,,,,,377899125125.0,2674868421.0,380573993546.0
"- Trích quỹ khen thưởng, phúc lợi","Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016 (Trình bày lại) > - Trích quỹ khen thưởng, phúc lợi","- Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(2.523.040.606),-,(2.523.040.606),,,,,-2523040606.0,,-2523040606.0
- Trích quỹ đầu tư phát triển,Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016 (Trình bày lại) > - Trích quỹ đầu tư phát triển,- Trích quỹ đầu tư phát triển,-,-,2.356.709.255,-,(2.356.709.255),-,-,,,2356709255.0,,-2356709255.0,,
- Tăng/(giảm) khác,Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016 (Trình bày lại) > - Tăng/(giảm) khác,- Tăng/(giảm) khác,-,1.591.717.162,(1.070.470.770),48.852.285,(561.880.414),1.170.216.726,(1.161.998.460),,1591717162.0,-1070470770.0,48852285.0,-561880414.0,1170216726.0,-1161998460.0
Số cuối kỳ,Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016 (Trình bày lại) > Số cuối kỳ,Số cuối kỳ,3.500.000.000.000,1.591.717.162,1.439.592.624,48.852.285,364.746.973.329,63.141.922.508,3.930.969.057.908,3500000000000.0,1591717162.0,1439592624.0,48852285.0,364746973329.0,63141922508.0,3930969057908.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,,,,,,,
Số đầu năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > Số đầu năm,Số đầu năm,3.500.000.000.000,1.591.717.162,1.439.592.624,48.852.285,364.746.973.329,63.141.922.508,3.930.969.057.907,3500000000000.0,1591717162.0,1439592624.0,48852285.0,364746973329.0,63141922508.0,3930969057907.0
