row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại)_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm (Trình bày lại),numeric__Số đầu năm (Trình bày lại)_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Hàng đang đi trên đường,Hàng đang đi trên đường,Hàng đang đi trên đường,19.211.807.203,-,42.987.175.467,-,19211807203.0,,42987175467.0,
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",91.739.971.829,(39.294.461),62.186.103.857,(91.631.423),91739971829.0,-39294461.0,62186103857.0,-91631423.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",1.889.639.891,-,2.312.197.813,-,1889639891.0,,2312197813.0,
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,463.787.994.884,(12.501.721.855),382.208.878.115,(1.762.589.777),463787994884.0,-12501721855.0,382208878115.0,-1762589777.0
"Dự án Vạn Phúc, Hà Đông (**)","Dự án Vạn Phúc, Hà Đông (**)","Dự án Vạn Phúc, Hà Đông (**)",54.109.090.909,-,-,-,54109090909.0,,,
Thành phẩm,Thành phẩm,Thành phẩm,42.425.874.335,(838.250.975),52.930.026.623,(349.190.380),42425874335.0,-838250975.0,52930026623.0,-349190380.0
Hàng hóa,Hàng hóa,Hàng hóa,62.680.463.023,(1.041.176.392),27.542.281.312,(543.745.664),62680463023.0,-1041176392.0,27542281312.0,-543745664.0
Hàng gửi đi bán,Hàng gửi đi bán,Hàng gửi đi bán,-,-,23.278.633,-,,,23278633.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,735.844.842.074,(14.420.443.683),570.189.941.820,(2.747.157.244),735844842074.0,-14420443683.0,570189941820.0,-2747157244.0
