row_label_raw,row_label_full,col_0,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2017,Đơn vị tính: VNDCho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016đến ngày 31 tháng12 năm 2016(Trình bày lại),numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2017,numeric__Đơn vị tính: VNDCho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016đến ngày 31 tháng12 năm 2016(Trình bày lại)
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,1.891.668.168.167,672.080.108.775,1891668168167.0,672080108775.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu hoạt động khai thác rừngtrồng,Trong đó: > Doanh thu hoạt động khai thác rừngtrồng,Doanh thu hoạt động khai thác rừngtrồng,107.379.795.648,39.400.853.829,107379795648.0,39400853829.0
Doanh thu từ kinh doanh gỗ,Trong đó: > Doanh thu từ kinh doanh gỗ,Doanh thu từ kinh doanh gỗ,857.427.237.997,338.834.844.495,857427237997.0,338834844495.0
Doanh thu bán thành phẩm,Trong đó: > Doanh thu bán thành phẩm,Doanh thu bán thành phẩm,804.509.978.896,253.588.801.366,804509978896.0,253588801366.0
Doanh thu dịch vụ cho thuê,Trong đó: > Doanh thu dịch vụ cho thuê,Doanh thu dịch vụ cho thuê,63.835.015.800,19.602.498.231,63835015800.0,19602498231.0
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,58.516.139.826,20.653.110.854,58516139826.0,20653110854.0
Các khoản giảm trừ doanh thu,Trong đó: > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,2.815.002.545,6.348.182,2815002545.0,6348182.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Chiết khấu thương mại,Trong đó: > Chiết khấu thương mại,Chiết khấu thương mại,165.461.000,-,165461000.0,
Giảm giá hàng bán,Trong đó: > Giảm giá hàng bán,Giảm giá hàng bán,412.061.876,6.348.182,412061876.0,6348182.0
Hàng bán bị trả lại,Trong đó: > Hàng bán bị trả lại,Hàng bán bị trả lại,2.237.479.669,-,2237479669.0,
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,1.888.853.165.622,672.073.760.593,1888853165622.0,672073760593.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu hoạt động khai thác rừngtrồng,Trong đó: > Doanh thu hoạt động khai thác rừngtrồng,Doanh thu hoạt động khai thác rừngtrồng,107.214.334.648,39.400.853.829,107214334648.0,39400853829.0
Doanh thu từ kinh doanh gỗ,Trong đó: > Doanh thu từ kinh doanh gỗ,Doanh thu từ kinh doanh gỗ,857.427.237.997,338.828.496.313,857427237997.0,338828496313.0
Doanh thu bán thành phẩm,Trong đó: > Doanh thu bán thành phẩm,Doanh thu bán thành phẩm,801.860.437.351,253.588.801.366,801860437351.0,253588801366.0
Doanh thu dịch vụ,Trong đó: > Doanh thu dịch vụ,Doanh thu dịch vụ,63.835.015.800,19.602.498.231,63835015800.0,19602498231.0
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,58.516.139.826,20.653.110.854,58516139826.0,20653110854.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu với các bên khác,Trong đó: > Doanh thu với các bên khác,Doanh thu với các bên khác,1.489.967.096.054,460.710.522.617,1489967096054.0,460710522617.0
Doanh thu với các bên liên quan(Thuyết minh số 32),Trong đó: > Doanh thu với các bên liên quan(Thuyết minh số 32),Doanh thu với các bên liên quan(Thuyết minh số 32),398.886.069.568,211.363.237.976,398886069568.0,211363237976.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,
,,,,Đơn vị tính: VNDCho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016đến ngày 31 tháng12 năm 2016(Trình bày lại),,
,,,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2017,Đơn vị tính: VNDCho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016đến ngày 31 tháng12 năm 2016(Trình bày lại),,
"Lãi tiền gửi, tiền cho vay","Doanh thu hoạt động tài chính > Lãi tiền gửi, tiền cho vay","Lãi tiền gửi, tiền cho vay",117.248.741.424,37.315.179.076,117248741424.0,37315179076.0
Lãi từ chuyển nhượng công ty liên kết,Doanh thu hoạt động tài chính > Lãi từ chuyển nhượng công ty liên kết,Lãi từ chuyển nhượng công ty liên kết,2.255.000.000,-,2255000000.0,
"Cổ tức, lợi nhuận được chia","Doanh thu hoạt động tài chính > Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia",1.942.217.661,1.932.986.179,1942217661.0,1932986179.0
Lãi chênh lệch tỷ giá,Doanh thu hoạt động tài chính > Lãi chênh lệch tỷ giá,Lãi chênh lệch tỷ giá,2.740.643.237,3.020.524.414,2740643237.0,3020524414.0
Doanh thu hoạt động tài chính khác,Doanh thu hoạt động tài chính > Doanh thu hoạt động tài chính khác,Doanh thu hoạt động tài chính khác,1.420.289.298,758.819.459,1420289298.0,758819459.0
TỔNG CỘNG,Doanh thu hoạt động tài chính > TỔNG CỘNG,TỔNG CỘNG,125.606.891.620,43.027.509.128,125606891620.0,43027509128.0
