row_label_raw,row_label_full,Chỉ tiêu,Đã được trình bày trước đây,Điều chỉnh,Được trình bày lại,numeric__Đã được trình bày trước đây,numeric__Điều chỉnh,numeric__Được trình bày lại
Tiền,Tiền,Tiền,53.287.555.626,1.252,53.287.556.878,53287555626.0,1252.0,53287556878.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,50.500.131.358,(215.000.000),50.285.131.358,50500131358.0,-215000000.0,50285131358.0
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,1.760.966.501.693,215.000.000,1.761.181.501.693,1760966501693.0,215000000.0,1761181501693.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,168.260.093.817,2.251.010.471,170.511.104.288,168260093817.0,2251010471.0,170511104288.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,41.833.764.995,306.349.330,42.140.114.325,41833764995.0,306349330.0,42140114325.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,105.937.289.864,1.814.402.780,107.751.692.644,105937289864.0,1814402780.0,107751692644.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,564.716.716.278,5.473.225.542,570.189.941.820,564716716278.0,5473225542.0,570189941820.0
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,18.580.821.921,(146.967.535),18.433.854.386,18580821921.0,-146967535.0,18433854386.0
Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,355.748.095,(115.030.819),240.717.276,355748095.0,-115030819.0,240717276.0
Trả trước cho người bán dài hạn,Trả trước cho người bán dài hạn,Trả trước cho người bán dài hạn,303.483.704,(303.483.704),-,303483704.0,-303483704.0,
Tài sản cố định hữu hình - Nguyên giá,Tài sản cố định hữu hình - Nguyên giá,Tài sản cố định hữu hình - Nguyên giá,852.857.525.390,5.053.169.148,857.910.694.538,852857525390.0,5053169148.0,857910694538.0
Tài sản cố định hữu hình - Giá trị khấu hao lũy kế,Tài sản cố định hữu hình - Giá trị khấu hao lũy kế,Tài sản cố định hữu hình - Giá trị khấu hao lũy kế,(604.518.956.932),(3.562.910.729),(608.081.867.661),-604518956932.0,-3562910729.0,-608081867661.0
Bắt động sản đầu tư – Nguyên giá,Bắt động sản đầu tư – Nguyên giá,Bắt động sản đầu tư – Nguyên giá,233.015.377.835,108.361.991,233.123.739.826,233015377835.0,108361991.0,233123739826.0
