row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm (Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm (Trình bày lại)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Chi phí công cụ dụng cụ chờ phân bổ,Ngắn hạn > Chi phí công cụ dụng cụ chờ phân bổ,Chi phí công cụ dụng cụ chờ phân bổ,1.180.443.616,3.126.396.879,1180443616.0,3126396879.0
Chi phí trả trước ngắn hạn khác,Ngắn hạn > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,3.036.659.025,796.397.772,3036659025.0,796397772.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,4.217.102.641,3.922.794.651,4217102641.0,3922794651.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Giá trị tiềm năng phát triển và giá trị thương hiệu (*),Dài hạn > Giá trị tiềm năng phát triển và giá trị thương hiệu (*),Giá trị tiềm năng phát triển và giá trị thương hiệu (*),20.408.021.001,25.990.115.618,20408021001.0,25990115618.0
Chi phí sửa chữa TSCĐ,Dài hạn > Chi phí sửa chữa TSCĐ,Chi phí sửa chữa TSCĐ,9.219.526.764,603.048.029,9219526764.0,603048029.0
Tiền thuê đất trả trước,Dài hạn > Tiền thuê đất trả trước,Tiền thuê đất trả trước,8.230.927.443,9.069.724.827,8230927443.0,9069724827.0
Công cụ dụng cụ chờ phân bổ,Dài hạn > Công cụ dụng cụ chờ phân bổ,Công cụ dụng cụ chờ phân bổ,5.089.546.279,7.564.801.614,5089546279.0,7564801614.0
Chi phí trả trước dài hạn khác,Dài hạn > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,1.417.784.376,1.030.731.864,1417784376.0,1030731864.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,44.365.805.863,44.258.421.952,44365805863.0,44258421952.0
