row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,Tài sản cố địnhkhác,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Tài sản cố địnhkhác,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm (Trình bày lại),Nguyên giá: > Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),356.496.783.126,380.507.702.584,51.087.110.108,62.250.138.106,7.568.960.614,857.910.694.533,356496783126.0,380507702584.0,51087110108.0,62250138106.0,7568960614.0,857910694533.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,222.000.000,12.812.785.385,4.405.140.910,227.700.000,-,17.667.626.295,222000000.0,12812785385.0,4405140910.0,227700000.0,,17667626295.0
- Đầu tư XDCB hoàn thành,Nguyên giá: > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,13.143.889.481,15.272.242.876,-,1.975.589.864,-,30.391.722.221,13143889481.0,15272242876.0,,1975589864.0,,30391722221.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(6.371.131.374),(6.749.111.542),(4.565.519.936),(897.819.634),(55.426.360),(18.639.008.846),-6371131374.0,-6749111542.0,-4565519936.0,-897819634.0,-55426360.0,-18639008846.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,363.491.541.233,401.843.619.303,50.926.731.082,63.555.608.336,7.513.534.254,887.331.034.208,363491541233.0,401843619303.0,50926731082.0,63555608336.0,7513534254.0,887331034208.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,55.752.015.669,284.772.056.232,11.917.469.308,2.109.196.874,3.235.412.504,357.786.150.587,55752015669.0,284772056232.0,11917469308.0,2109196874.0,3235412504.0,357786150587.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm (Trình bày lại),Giá trị khấu hao lũy kế: > Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),212.572.224.766,322.902.768.877,31.446.551.079,35.647.502.172,5.512.820.767,608.081.867.661,212572224766.0,322902768877.0,31446551079.0,35647502172.0,5512820767.0,608081867661.0
- Khấu hac trong năm,Giá trị khấu hao lũy kế: > - Khấu hac trong năm,- Khấu hac trong năm,17.484.700.907,29.940.301.193,5.051.484.877,8.930.396.071,318.992.961,61.725.876.009,17484700907.0,29940301193.0,5051484877.0,8930396071.0,318992961.0,61725876009.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(2.545.996.102),(6.556.737.551),(4.285.562.889),(272.963.943),(25.865.635),(13.687.126.120),-2545996102.0,-6556737551.0,-4285562889.0,-272963943.0,-25865635.0,-13687126120.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,227.510.929.571,346.286.332.519,32.212.473.067,44.304.934.300,5.805.948.093,656.120.617.550,227510929571.0,346286332519.0,32212473067.0,44304934300.0,5805948093.0,656120617550.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm (Trình bày lại),Giá trị còn lại: > Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),143.924.558.360,57.604.933.707,19.640.559.029,26.602.635.934,2.056.139.847,249.828.826.877,143924558360.0,57604933707.0,19640559029.0,26602635934.0,2056139847.0,249828826877.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,135.980.611.662,55.557.286.784,18.714.258.015,19.250.674.036,1.707.586.161,231.210.416.658,135980611662.0,55557286784.0,18714258015.0,19250674036.0,1707586161.0,231210416658.0
"Trong đó:Cẩm cố, thế chấp","Giá trị còn lại: > Trong đó:Cẩm cố, thế chấp","Trong đó:Cẩm cố, thế chấp",10.203.549.267,9.561.744.760,2.470.013.360,-,-,22.235.307.388,10203549267.0,9561744760.0,2470013360.0,,,22235307388.0
