row_label_raw,row_label_full,col_0,Số đầu năm(Trình bày lại),Số phải nộptrong năm,Số đã nộptrong năm,Đơn vị tính: VND > Số cuối năm,numeric__Số đầu năm(Trình bày lại),numeric__Số phải nộptrong năm,numeric__Số đã nộptrong năm,numeric__Đơn vị tính: VND > Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,3.117.253.106,67.513.244.985,(67.593.317.859),3.037.180.232,3117253106.0,67513244985.0,-67593317859.0,3037180232.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,3.830.776.657,15.890.495.511,(13.097.558.646),6.623.713.522,3830776657.0,15890495511.0,-13097558646.0,6623713522.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,217.348.807,8.774.774.996,(8.157.230.506),834.893.297,217348807.0,8774774996.0,-8157230506.0,834893297.0
"Thuế nhà đất, tiền thuê đất","Phải nộp > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",2.146.059.828,7.012.279.796,(7.706.738.060),1.451.601.564,2146059828.0,7012279796.0,-7706738060.0,1451601564.0
Các loại thuế khác,Phải nộp > Các loại thuế khác,Các loại thuế khác,136.076.732.243,8.597.008.700,(8.496.873.874),136.176.867.069,136076732243.0,8597008700.0,-8496873874.0,136176867069.0
Lợi nhuận nộp về ngân sách nhà nước,Phải nộp > Lợi nhuận nộp về ngân sách nhà nước,Lợi nhuận nộp về ngân sách nhà nước,158.097.737.049,2.614.161.136,(119.386.088.388),41.325.809.797,158097737049.0,2614161136.0,-119386088388.0,41325809797.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,303.485.907.690,110.401.965.124,(224.437.807.333),189.450.065.481,303485907690.0,110401965124.0,-224437807333.0,189450065481.0
,,,Số đầu năm(Trình bày lại),Số phải thu trong năm,Số đã thu trong năm,Đơn vị tính:VND,,,,
,,,Số đầu năm(Trình bày lại),Số phải thu trong năm,Số đã thu trong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,123.885.485,161.784.976,-,285.670.461,123885485.0,161784976.0,,285670461.0
Thuế thu nhập cá nhân,Phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,85.349.953,1.137.708.355,(652.987.607),570.070.701,85349953.0,1137708355.0,-652987607.0,570070701.0
Các loại thuế khác,Phải thu > Các loại thuế khác,Các loại thuế khác,31.481.838,4.614.000,(31.481.838),4.614.000,31481838.0,4614000.0,-31481838.0,4614000.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,240.717.276,1.304.107.331,(684.469.445),860.355.162,240717276.0,1304107331.0,-684469445.0,860355162.0
