row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,Hoạt động khai thác trồng rừng > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,Kinh doanh gỗ > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,Bán thành phẩm gỗ > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,Hoạt động cho thuê > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,Hoạt động khác > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,Loại trừ > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,Đơn vị tính: VND Tổng cộng > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,numeric__Hoạt động khai thác trồng rừng > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,numeric__Kinh doanh gỗ > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,numeric__Bán thành phẩm gỗ > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,numeric__Hoạt động cho thuê > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,numeric__Hoạt động khác > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,numeric__Loại trừ > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,numeric__Đơn vị tính: VND Tổng cộng > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,,
Doanh thu từ bán hàng ra bên ngoài,Doanh thu > Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,107.379.795.648,857.427.237.997,804.509.978.896,63.835.015.800,58.516.139.826,-,1.891.668.168.167,107379795648.0,857427237997.0,804509978896.0,63835015800.0,58516139826.0,,1891668168167.0
Doanh thu từ bán hàng cho các bộ phận,Doanh thu > Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,916.236.885,-,842.681.439,93.849.650,1.970.219.244,(3.822.987.218),-,916236885.0,,842681439.0,93849650.0,1970219244.0,-3822987218.0,
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,108.296.032.533,857.427.237.997,805.352.660.335,63.928.865.450,60.486.359.070,(3.822.987.218),1.891.668.168.167,108296032533.0,857427237997.0,805352660335.0,63928865450.0,60486359070.0,-3822987218.0,1891668168167.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,,,
Lợi nhuận gộp của bộ phận,Kết quả > Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,45.790.011.980,25.902.202.047,142.365.739.501,43.653.984.896,5.844.989.489,,263.556.927.913,45790011980.0,25902202047.0,142365739501.0,43653984896.0,5844989489.0,,263556927913.0
"Thu nhập, chi phí không phân bổ","Kết quả > Thu nhập, chi phí không phân bổ","Thu nhập, chi phí không phân bổ",,,,,,,846.446.656.317,,,,,,,846446656317.0
Lợi nhuận thuần trước thuế,Kết quả > Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,,,,,1.110.003.584.230,,,,,,,1110003584230.0
Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,,,,,,,"(16.088.271.981,",,,,,,,
Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,,,,,,,"(2.727.046.589,",,,,,,,
Lợi nhuận thuần sau thuế,Thu nhập thuế TNDN hoãn lại > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,,,1.091.188.265.660,,,,,,,1091188265660.0
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,,,
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,-,-,-,-,-,,-,,,,,,,
Tài sản không phân bổ,Tài sản bộ phận > Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,5.707.185.080.869,,,,,,,5707185080869.0
Tổng tài sản,Tài sản bộ phận > Tổng tài sản,Tổng tài sản,,,,,,,5.707.185.080.869,,,,,,,5707185080869.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,-,-,-,-,-,,-,,,,,,,
Nợ phải trả không phân bổ,Nợ phải trả bộ phận > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,711.885.618.719,,,,,,,711885618719.0
Tổng nợ phải trả,Nợ phải trả bộ phận > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,711.885.618.719,,,,,,,711885618719.0
Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,,,,,,,,,,,,,,
Tài sản cố định hữu hình,Chi phí hình thành tài sản cố định > Tài sản cố định hữu hình,Tài sản cố định hữu hình,,,,,,,48.059.348.516,,,,,,,48059348516.0
Tài sản cố định vô hình,Chi phí hình thành tài sản cố định > Tài sản cố định vô hình,Tài sản cố định vô hình,,,,,,,55.000.000,,,,,,,55000000.0
Khấu hao,Chi phí hình thành tài sản cố định > Khấu hao,Khấu hao,,,,,,,63.815.798.728,,,,,,,63815798728.0
