row_label_raw,row_label_full,Bên liên quan > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),Mối quanhệ > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),Nội dungnghiệp vụ > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),Số cuối năm > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),Số đầu năm > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),numeric__Mối quanhệ > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),numeric__Nội dungnghiệp vụ > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),numeric__Số cuối năm > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),numeric__Số đầu năm > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1)
Công ty TNHH Việt NhậtChế biển gỗ và Đảm gỗDung Quất,Công ty TNHH Việt NhậtChế biển gỗ và Đảm gỗDung Quất,Công ty TNHH Việt NhậtChế biển gỗ và Đảm gỗDung Quất,Công tyliên kết,Bán hàng hóa,-,8.108.108.800,,,,8108108800.0
Công ty TNHH Sản xuấtNguyên liệu Giấy Việt NhậtVũng Áng,Công ty TNHH Sản xuấtNguyên liệu Giấy Việt NhậtVũng Áng,Công ty TNHH Sản xuấtNguyên liệu Giấy Việt NhậtVũng Áng,Công tyliên kết,Bán hàng hóa,687.284.229,7.163.783.900,,,687284229.0,7163783900.0
Công ty TNHH Ván dán OJI- Vinafor Bắc Giang,Công ty TNHH Ván dán OJI- Vinafor Bắc Giang,Công ty TNHH Ván dán OJI- Vinafor Bắc Giang,Công tyliên kết,Bán hàng hóa,-,5.109.874.650,,,,5109874650.0
Công ty TNHH Sản xuấtNguyên liệu Giấy Việt Nhật,Công ty TNHH Sản xuấtNguyên liệu Giấy Việt Nhật,Công ty TNHH Sản xuấtNguyên liệu Giấy Việt Nhật,Công tyliên kết,Bán hàng hóa,3.989.689.582,2.874.843.647,,,3989689582.0,2874843647.0
Công ty Cổ phần Gỗ lạngBuôn Ma Thuột,Công ty Cổ phần Gỗ lạngBuôn Ma Thuột,Công ty Cổ phần Gỗ lạngBuôn Ma Thuột,Công tyliên kết,Bán hàng hóa,812.757.758,672.150.039,,,812757758.0,672150039.0
Công ty TNHH YamahaMotor Việt Nam,Công ty TNHH YamahaMotor Việt Nam,Công ty TNHH YamahaMotor Việt Nam,Công tyliên kết,Cho thuê vănphòng và các dịchvụ phụ trợ khác,74.053.568,81.315.138,,,74053568.0,81315138.0
,,,,,5.563.785.137,24.010.076.174,,,5563785137.0,24010076174.0
Các khoản phải thu ngắn hạn khác (Thuyết minh số 8),Các khoản phải thu ngắn hạn khác (Thuyết minh số 8),Các khoản phải thu ngắn hạn khác (Thuyết minh số 8),Các khoản phải thu ngắn hạn khác (Thuyết minh số 8),Các khoản phải thu ngắn hạn khác (Thuyết minh số 8),Các khoản phải thu ngắn hạn khác (Thuyết minh số 8),Các khoản phải thu ngắn hạn khác (Thuyết minh số 8),,,,
Công ty Cổ phần Lâm sảnForprodex,Các khoản phải thu ngắn hạn khác (Thuyết minh số 8) > Công ty Cổ phần Lâm sảnForprodex,Công ty Cổ phần Lâm sảnForprodex,Công tyliên kết,Phải thu về cổ phần hóa,2.919.700.000,3.156.063.561,,,2919700000.0,3156063561.0
Công ty Cổ phần Thươngmại Lâm sản Hà Nội,Các khoản phải thu ngắn hạn khác (Thuyết minh số 8) > Công ty Cổ phần Thươngmại Lâm sản Hà Nội,Công ty Cổ phần Thươngmại Lâm sản Hà Nội,Công tyliên kết,Tiền cổ tứcPhải thu về cổ phần hóa,135.000.000800.811.705,135.000.000800.811.705,,,1.3500000080081171e+17,1.3500000080081171e+17
Công ty TNHH Việt NhậtChế biển gỗ và Đảm gỗDung Quất,Các khoản phải thu ngắn hạn khác (Thuyết minh số 8) > Công ty TNHH Việt NhậtChế biển gỗ và Đảm gỗDung Quất,Công ty TNHH Việt NhậtChế biển gỗ và Đảm gỗDung Quất,Công tyliên kết,Lãi vay phải thu,150.968.178,186.295.762,,,150968178.0,186295762.0
Công ty TNHH Sản xuấtNguyên liệu Giấy Việt NhậtVũng Áng,Các khoản phải thu ngắn hạn khác (Thuyết minh số 8) > Công ty TNHH Sản xuấtNguyên liệu Giấy Việt NhậtVũng Áng,Công ty TNHH Sản xuấtNguyên liệu Giấy Việt NhậtVũng Áng,Công tyliên kết,Lãi vay phải thu,44.573.381,63.946.309,,,44573381.0,63946309.0
,,,,,4.051.053.264,4.342.117.337,,,4051053264.0,4342117337.0
