row_label_raw,row_label_full,Mã số,CHÍ TIÊU,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016 (Trình bày lại),numeric__CHÍ TIÊU,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,numeric__Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016 (Trình bày lại)
,,,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,,
01,01,01,Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản:,,1.110.003.584.230,386.163.368.323,,,1110003584230.0,386163368323.0
02,02,02,Khấu hao tài sản cố định hữu hình và hao mòn tài sản cố định vô hình,"10,11,12",74.149.461.212,28.737.349.038,,,74149461212.0,28737349038.0
03,03,03,Các khoản dự phòng,,23.766.651.692,5.584.829.466,,,23766651692.0,5584829466.0
04,04,04,Lỗ/(lãi) chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,,186.891.844,(1.744.386.257),,,186891844.0,-1744386257.0
05,05,05,Lãi từ hoạt động đầu tư,,(1.140.904.762.240),(438.507.740.856),,,-1140904762240.0,-438507740856.0
06,06,06,Chi phí lãi vay,27,8.481.995.913,2.921.504.158,,27.0,8481995913.0,2921504158.0
08,08,08,Lợi nhuận/(lỗ) từ hoạt động kinh doanh trước thay đổi vốn lưu động,,75.683.822.651,(16.845.076.128),,,75683822651.0,-16845076128.0
09,09,09,Giảm/(tăng) các khoản phải thu,,14.548.233.671,(61.015.511.439),,,14548233671.0,-61015511439.0
10,10,10,Tăng hàng tồn kho,,(112.025.236.862),(212.398.916.781),,,-112025236862.0,-212398916781.0
11,11,11,Tăng các khoản phải trả,,16.458.045.625,259.134.296.828,,,16458045625.0,259134296828.0
12,12,12,(Tăng)/giảm chi phí trả trước,,(401.691.901),5.244.331.108,,,-401691901.0,5244331108.0
14,14,14,Tiền lãi vay đã trả,,(12.705.249.499),(1.989.902.586),,,-12705249499.0,-1989902586.0
15,15,15,Thuế thu nhập doanh nghiệp đã nộp,17,(13.259.343.622),(6.586.661.324),,17.0,-13259343622.0,-6586661324.0
16,16,16,Tiền thu khác từ hoạt động kinh doanh,,-,320.435.038,,,,320435038.0
17,17,17,Tiền chi khác cho hoạt động kinh doanh,,(25.555.674.077),-,,,-25555674077.0,
20,20,20,Lưu chuyển tiền thuần sử dụng vào hoạt động kinh doanh,,(57.257.094.014),(34.137.005.284),,,-57257094014.0,-34137005284.0
,,,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
21,21,21,"Tiền chi để mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",,(41.318.536.079),(17.272.613.169),,,-41318536079.0,-17272613169.0
22,22,22,"Tiền thu do thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,13.152.277.425,232.445.455,,,13152277425.0,232445455.0
23,23,23,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,(2.508.306.245.898),(425.597.752.191),,,-2508306245898.0,-425597752191.0
24,24,24,"Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác",,2.082.772.802.673,228.782.350.813,,,2082772802673.0,228782350813.0
26,26,26,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,809.987.719.796,201.170.257.960,,,809987719796.0,201170257960.0
27,27,27,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,463.960.442.351,8.561.458.827,,,463960442351.0,8561458827.0
30,30,30,Lưu chuyển tiền thuần từ/(sử dụng vào) hoạt động đầu tư,,820.248.460.268,(4.123.852.305),,,820248460268.0,-4123852305.0
