row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm (Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm (Trình bày lại)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Kinh phí đo đạc, cấm mộc, cấp giấy chứng nhận QSDD (*)","Ngắn hạn > Kinh phí đo đạc, cấm mộc, cấp giấy chứng nhận QSDD (*)","Kinh phí đo đạc, cấm mộc, cấp giấy chứng nhận QSDD (*)",49.681.062.867,50.000.000.000,49681062867.0,50000000000.0
Phải trả nhà thầu phụ,Ngắn hạn > Phải trả nhà thầu phụ,Phải trả nhà thầu phụ,16.320.948.412,16.673.744.197,16320948412.0,16673744197.0
Phải trả về cổ phần hóa (**),Ngắn hạn > Phải trả về cổ phần hóa (**),Phải trả về cổ phần hóa (**),16.549.193.851,544.655.473.634,16549193851.0,544655473634.0
Phải trả Ban Thanh lý Xí nghiệp Phú Lâm,Ngắn hạn > Phải trả Ban Thanh lý Xí nghiệp Phú Lâm,Phải trả Ban Thanh lý Xí nghiệp Phú Lâm,4.296.245.330,3.604.577.358,4296245330.0,3604577358.0
"Nhận ký quỹ, ký cược","Ngắn hạn > Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược",2.268.257.329,2.073.306.529,2268257329.0,2073306529.0
Tiền mượn Công ty Cổ phần Nguyên liệu Giấy gỗ Tân Thành,Ngắn hạn > Tiền mượn Công ty Cổ phần Nguyên liệu Giấy gỗ Tân Thành,Tiền mượn Công ty Cổ phần Nguyên liệu Giấy gỗ Tân Thành,1.655.500.000,1.655.500.000,1655500000.0,1655500000.0
Các khoản phải trả khác,Ngắn hạn > Các khoản phải trả khác,Các khoản phải trả khác,25.020.488.878,22.249.643.447,25020488878.0,22249643447.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,115.791.696.667,640.912.245.165,115791696667.0,640912245165.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn các bên khác,Trong đó: > Phải trả ngắn hạn các bên khác,Phải trả ngắn hạn các bên khác,114.135.185.874,639.255.731.261,114135185874.0,639255731261.0
Phải trả ngắn hạn khác cho bên liên quan (Thuyết minh số 32),Trong đó: > Phải trả ngắn hạn khác cho bên liên quan (Thuyết minh số 32),Phải trả ngắn hạn khác cho bên liên quan (Thuyết minh số 32),1.656.510.793,1.656.513.904,1656510793.0,1656513904.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Nhận ký quỹ, ký cược","Dài hạn > Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược",11.565.376.405,8.704.336.476,11565376405.0,8704336476.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,11.565.376.405,8.704.336.476,11565376405.0,8704336476.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả dài hạn các bên khác,Trong đó: > Phải trả dài hạn các bên khác,Phải trả dài hạn các bên khác,10.349.840.725,7.488.800.796,10349840725.0,7488800796.0
Phải trả dài hạn khác cho bên liên quan (Thuyết minh số 32),Trong đó: > Phải trả dài hạn khác cho bên liên quan (Thuyết minh số 32),Phải trả dài hạn khác cho bên liên quan (Thuyết minh số 32),1.215.535.680,1.215.535.680,1215535680.0,1215535680.0
