row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016 (Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,numeric__Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016 (Trình bày lại)
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,25.1,1.891.668.168.167,672.080.108.775,,251.0,1891668168167.0,672080108775.0
02,02,02,2. Các khoản giảm trừ doanh thu,25.1,(2.815.002.545),(6.348.182),,251.0,-2815002545.0,-6348182.0
10,10,10,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,25.1,1.888.853.165.622,672.073.760.593,,251.0,1888853165622.0,672073760593.0
11,11,11,4. Giá vốn hàng bán và dịch vụ cung cấp,26,(1.625.296.237.709),(589.003.041.093),,26.0,-1625296237709.0,-589003041093.0
20,20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,263.556.927.913,83.070.719.500,,,263556927913.0,83070719500.0
21,21,21,6. Doanh thu hoạt động tài chính,25.2,125.606.891.620,43.027.509.128,,252.0,125606891620.0,43027509128.0
22,22,22,7. Chi phí tài chính Trong đó: Chi phí lãi vay,27,(10.831.568.344) (8.481.995.913),(3.928.226.144) (2.921.504.158),,27.0,,
23,23,23,7. Chi phí tài chính Trong đó: Chi phí lãi vay,27,(10.831.568.344) (8.481.995.913),(3.928.226.144) (2.921.504.158),,27.0,,
24,24,24,"8. Phần lợi nhuận trong công ty liên doanh, liên kết",,1.012.853.065.775,349.596.653.638,,,1012853065775.0,349596653638.0
25,25,25,9. Chi phí bán hàng,28,(75.895.269.605),(20.249.070.944),,28.0,-75895269605.0,-20249070944.0
26,26,26,10. Chi phí quản lý doanh nghiệp,28,(214.260.339.029),(67.692.964.119),,28.0,-214260339029.0,-67692964119.0
30,30,30,11. Lợi nhuận thuần từ hoạt động kinh doanh,,1.101.029.708.330,383.824.621.059,,,1101029708330.0,383824621059.0
31,31,31,12. Thu nhập khác,29,15.676.073.240,5.200.864.201,,29.0,15676073240.0,5200864201.0
32,32,32,13. Chi phí khác,29,(6.702.197.340),(2.862.116.937),,29.0,-6702197340.0,-2862116937.0
40,40,40,14. Lợi nhuận khác,29,8.973.875.900,2.338.747.264,,29.0,8973875900.0,2338747264.0
50,50,50,15. Tổng lợi nhuận kế toán trước thuế,,1.110.003.584.230,386.163.368.323,,,1110003584230.0,386163368323.0
