row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,Số cuối năm,Số cuối năm (Trình bày lại),numeric__TÀI SẢN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số cuối năm (Trình bày lại)
200,200,200,B. TÀI SẢN DÀI HẠN,,2.292.787.199.736,2.553.321.787.820,,,2292787199736.0,2553321787820.0
210,210,210,I. Các khoản phải thu dài hạn,,60.914.018.471,74.458.330.367,,,60914018471.0,74458330367.0
215,215,215,1. Phải thu về cho vay dài hạn,7,53.907.578.334,66.274.782.464,,7.0,53907578334.0,66274782464.0
216,216,216,2. Phải thu dài hạn khác,8,7.027.440.137,8.313.182.113,,8.0,7027440137.0,8313182113.0
219,219,219,3. Dự phòng phải thu dài hạn khó đòi,"7,8",(21.000.000),(129.634.210),,7.8,-21000000.0,-129634210.0
220,220,220,II. Tài sản cố định,,253.354.587.460,274.007.920.398,,,253354587460.0,274007920398.0
221,221,221,1. Tài sản cố định hữu hình,10,231.210.416.658,249.828.826.877,,10.0,231210416658.0,249828826877.0
222,222,222,Nguyên giá,,887.331.034.208,857.910.694.538,,,887331034208.0,857910694538.0
223,223,223,Giá trị khấu hao lũy kế,,(656.120.617.550),(608.081.867.661),,,-656120617550.0,-608081867661.0
227,227,227,2. Tài sản cố định vô hình,11,22.144.170.802,24.179.093.521,,11.0,22144170802.0,24179093521.0
228,228,228,Nguyên giá,,46.858.251.080,46.803.251.080,,,46858251080.0,46803251080.0
229,229,229,Giá trị khao hao lũy kế,,(24.714.080.278),(22.624.157.559),,,-24714080278.0,-22624157559.0
230,230,230,III. Bất động sản đầu tư,12,171.656.858.099,183.754.549.169,,12.0,171656858099.0,183754549169.0
231,231,231,1. Nguyên giá,,225.511.719.448,233.123.739.826,,,225511719448.0,233123739826.0
232,232,232,2. Giá trị hao mòn lũy kế,,(53.854.861.349),(49.369.190.657),,,-53854861349.0,-49369190657.0
240,240,240,IV. Tài sản dở dang dài hạn,13,167.328.860.684,241.438.664.270,,13.0,167328860684.0,241438664270.0
241,241,241,"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",13.1,147.363.482.467,200.755.714.417,,131.0,147363482467.0,200755714417.0
242,242,242,2. Chi phí xây dựng cơ bản dở dang,13.2,19.965.378.217,40.682.949.853,,132.0,19965378217.0,40682949853.0
250,250,250,V. Đầu tư tài chính dài hạn,14,1.594.423.463.439,1.734.953.680.273,,14.0,1594423463439.0,1734953680273.0
252,252,252,"1. Đầu tư vào công ty liên doanh, liên kết",14.1,1.574.786.630.650,1.715.075.612.152,,141.0,1574786630650.0,1715075612152.0
253,253,253,2. Đầu tư góp vốn vào đơn vị khác,14.2,19.636.832.789,19.878.068.121,,142.0,19636832789.0,19878068121.0
260,260,260,VI. Tài sản dài hạn khác,,45.109.411.583,44.708.643.343,,,45109411583.0,44708643343.0
261,261,261,1. Chi phí trả trước dài hạn,15,44.365.805.863,44.258.421.952,,15.0,44365805863.0,44258421952.0
262,262,262,2. Tài sản thuế thu nhập hoãn lại,31.3,743.605.720,450.221.391,,313.0,743605720.0,450221391.0
270,270,270,TỔNG CỘNG TÀI SẢN,,5.707.183.927.327,5.314.869.519.992,,,5707183927327.0,5314869519992.0
