row_label_raw,row_label_full,Chỉ tiêu,Đã được trình bày trước đây,Điều chỉnh,Được trình bày lại,numeric__Đã được trình bày trước đây,numeric__Điều chỉnh,numeric__Được trình bày lại
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,672.959.836.936,(879.728.161),672.080.108.775,672959836936.0,-879728161.0,672080108775.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,672.953.488.754,(879.728.161),672.073.760.593,672953488754.0,-879728161.0,672073760593.0
Giá vốn hàng bán và dịch vụ cung cấp Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Giá vốn hàng bán và dịch vụ cung cấp Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Giá vốn hàng bán và dịch vụ cung cấp Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,(588.602.426.705),(400.614.388),(589.003.041.093),-588602426705.0,-400614388.0,-589003041093.0
Giá vốn hàng bán và dịch vụ cung cấp Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Giá vốn hàng bán và dịch vụ cung cấp Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Giá vốn hàng bán và dịch vụ cung cấp Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,84.351.062.049,(1.280.342.549),83.070.719.500,84351062049.0,-1280342549.0,83070719500.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,43.326.931.391,(299.422.263),43.027.509.128,43326931391.0,-299422263.0,43027509128.0
"Lãi trong công ty liên doanh, liên kết (iv)","Lãi trong công ty liên doanh, liên kết (iv)","Lãi trong công ty liên doanh, liên kết (iv)",398.960.153.338,(49.363.499.700),349.596.653.638,398960153338.0,-49363499700.0,349596653638.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,(68.372.792.597),679.828.478,(67.692.964.119),-68372792597.0,679828478.0,-67692964119.0
Lợi nhuận thuần từ hoạt động (iv),Lợi nhuận thuần từ hoạt động (iv),Lợi nhuận thuần từ hoạt động (iv),434.088.057.093,(50.263.436.034),383.824.621.059,434088057093.0,-50263436034.0,383824621059.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,5.550.277.142,(349.412.941),5.200.864.201,5550277142.0,-349412941.0,5200864201.0
Lỗ khác,Lỗ khác,Lỗ khác,(2.945.929.137),83.812.200,(2.862.116.937),-2945929137.0,83812200.0,-2862116937.0
Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,436.692.405.098,(50.529.036.775),386.163.368.323,436692405098.0,-50529036775.0,386163368323.0
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,431.103.030.321,(50.529.036.775),380.573.993.546,431103030321.0,-50529036775.0,380573993546.0
Lợi nhuận thuộc về các cổ đông của công ty mẹ,Lợi nhuận thuộc về các cổ đông của công ty mẹ,Lợi nhuận thuộc về các cổ đông của công ty mẹ,428.428.161.900,(50.529.036.775),377.899.125.125,428428161900.0,-50529036775.0,377899125125.0
