row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Đơn vị tính: VND > Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016,numeric__Đơn vị tính: VND > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,numeric__Đơn vị tính: VND > Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
Chi phí nhân công,Chi phí bán hàng > Chi phí nhân công,Chi phí nhân công,9.506.777.171,1.907.851.989,9506777171.0,1907851989.0
Chi phí nguyên vật liệu,Chi phí bán hàng > Chi phí nguyên vật liệu,Chi phí nguyên vật liệu,257.586.128,-,257586128.0,
Chi phí khấu hao TSCĐ,Chi phí bán hàng > Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,20.948.201.828,5.801.827.447,20948201828.0,5801827447.0
Chi phí dịch vụ mua ngoài,Chi phí bán hàng > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,41.086.360.592,11.133.761.868,41086360592.0,11133761868.0
Chi phí bằng tiền khác,Chi phí bán hàng > Chi phí bằng tiền khác,Chi phí bằng tiền khác,4.096.343.886,1.405.629.640,4096343886.0,1405629640.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,75.895.269.605,20.249.070.944,75895269605.0,20249070944.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
Chi phí nhân công,Chi phí quản lý doanh nghiệp > Chi phí nhân công,Chi phí nhân công,110.865.116.001,34.934.288.121,110865116001.0,34934288121.0
Chi phí khấu hao TSCĐ,Chi phí quản lý doanh nghiệp > Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,16.088.309.532,5.297.724.057,16088309532.0,5297724057.0
"Thuế, phí, và lệ phí","Chi phí quản lý doanh nghiệp > Thuế, phí, và lệ phí","Thuế, phí, và lệ phí",6.815.568.729,2.175.298.735,6815568729.0,2175298735.0
"Chi phí nguyên liệu, vật liệu","Chi phí quản lý doanh nghiệp > Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",4.165.588.892,3.832.212.617,4165588892.0,3832212617.0
Chi phí đồ dùng văn phòng,Chi phí quản lý doanh nghiệp > Chi phí đồ dùng văn phòng,Chi phí đồ dùng văn phòng,3.911.839.776,663.391.377,3911839776.0,663391377.0
Chi phí dự phòng,Chi phí quản lý doanh nghiệp > Chi phí dự phòng,Chi phí dự phòng,12.354.070.854,4.325.435.004,12354070854.0,4325435004.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,19.459.154.165,5.206.644.153,19459154165.0,5206644153.0
Chi phí khác bằng tiền khác,Chi phí quản lý doanh nghiệp > Chi phí khác bằng tiền khác,Chi phí khác bằng tiền khác,40.600.691.080,11.257.970.055,40600691080.0,11257970055.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,214.260.339.029,67.692.964.119,214260339029.0,67692964119.0
