row_label_raw,row_label_full,col_0,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,numeric__Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016
"Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",925.524.402.679,431.230.664.995,925524402679.0,431230664995.0
Chi phí nhân công,Chi phí nhân công,Chi phí nhân công,295.971.355.246,88.959.713.393,295971355246.0,88959713393.0
Chi phí khấu hao và hao mòn tài sản cố định,Chi phí khấu hao và hao mòn tài sản cố định,Chi phí khấu hao và hao mòn tài sản cố định,74.149.461.212,28.737.349.038,74149461212.0,28737349038.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,158.079.920.246,66.036.977.409,158079920246.0,66036977409.0
Chi phí khác bằng tiền,Chi phí khác bằng tiền,Chi phí khác bằng tiền,98.410.988.609,33.138.328.133,98410988609.0,33138328133.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.552.136.127.992,648.103.032.968,1552136127992.0,648103032968.0
