row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Đơn vị tính: VND > Số đầu năm (Trình bày lại) > Giá trị,Đơn vị tính: VND > Số đầu năm (Trình bày lại) > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Đơn vị tính: VND > Số đầu năm (Trình bày lại) > Giá trị,numeric__Đơn vị tính: VND > Số đầu năm (Trình bày lại) > Số có khả năng trả nợ
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Phải trả cho người bán,Ngắn hạn > Phải trả cho người bán,Phải trả cho người bán,84.132.565.778,84.132.565.778,105.679.756.155,105.679.756.155,84132565778.0,84132565778.0,105679756155.0,105679756155.0
- Công ty TNHH AICA Đồng Nai,Ngắn hạn > - Công ty TNHH AICA Đồng Nai,- Công ty TNHH AICA Đồng Nai,11.217.284.773,11.217.284.773,4.384.257.083,4.384.257.083,11217284773.0,11217284773.0,4384257083.0,4384257083.0
- Phải trả người bán khác,Ngắn hạn > - Phải trả người bán khác,- Phải trả người bán khác,72.915.281.005,72.915.281.005,101.295.499.072,101.295.499.072,72915281005.0,72915281005.0,101295499072.0,101295499072.0
Phải trả cho các bên liên quan(Thuyết minh số 32),Ngắn hạn > Phải trả cho các bên liên quan(Thuyết minh số 32),Phải trả cho các bên liên quan(Thuyết minh số 32),147.281.455,147.281.455,109.642.195,109.642.195,147281455.0,147281455.0,109642195.0,109642195.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,84.279.847.233,84.279.847.233,105.789.398.350,105.789.398.350,84279847233.0,84279847233.0,105789398350.0,105789398350.0
