row_label_raw,row_label_full,Bên vay,Số cuối nămVND,Lãi suất,numeric__Số cuối nămVND,numeric__Lãi suất
Công ty Cổ phần Sài Gòn Riverview,Công ty Cổ phần Sài Gòn Riverview,Công ty Cổ phần Sài Gòn Riverview,18.725.000.000,"10,5%",18725000000.0,0.105
Công ty Cổ phần Đầu tư Dầu khí Nha Trang,Công ty Cổ phần Đầu tư Dầu khí Nha Trang,Công ty Cổ phần Đầu tư Dầu khí Nha Trang,2.268.934.820,"từ 7,5% đến 15%",2268934820.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,20.993.934.820,,20993934820.0,
