row_label_raw,row_label_full,Thuế giá trị gia tăng,Số đầu năm > 23.739.372.557,Số phải nộp trong năm > 42.849.479.553,Số đã nộp trong năm > 35.226.210.854,VND Số cuối năm > 31.362.641.256,numeric__Số đầu năm > 23.739.372.557,numeric__Số phải nộp trong năm > 42.849.479.553,numeric__Số đã nộp trong năm > 35.226.210.854,numeric__VND Số cuối năm > 31.362.641.256
Thuế TNDN,Thuế TNDN,Thuế TNDN,224.783.818.000,9.682.857.515,63.034.513.195,171.432.162.320,224783818000.0,9682857515.0,63034513195.0,171432162320.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.623.493.708,14.312.271.371,14.873.293.993,2.062.471.086,2623493708.0,14312271371.0,14873293993.0,2062471086.0
Khác,Khác,Khác,-,17.738.441.963,-,17.738.441.963,,17738441963.0,,17738441963.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,251.146.684.265,84.583.050.402,113.134.018.042,222.595.716.625,251146684265.0,84583050402.0,113134018042.0,222595716625.0
