row_label_raw,row_label_full,col_0,VNDNhà cửa vàvật kiến trúc,numeric__VNDNhà cửa vàvật kiến trúc
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,75.492.863.966,75492863966.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.180.327.043),-3180327043.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,72.312.536.923,72312536923.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(6.037.666.482),-6037666482.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(1.406.666.210),-1406666210.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",423.296.735,423296735.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(7.021.035.957),-7021035957.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,69.455.197.484,69455197484.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,65.291.500.966,65291500966.0
