row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,,
Hà An,Phải thu ngắn hạn của khách hàng > Hà An,Hà An,Công ty con,Doanh thu dịch vụ BĐS,55.989.000.000,-,,,55989000000.0,
Đất Xanh Miền Trung,Phải thu ngắn hạn của khách hàng > Đất Xanh Miền Trung,Đất Xanh Miền Trung,Công ty con,Doanh thu dịch vụ BĐS,46.984.249.087,47.704.445.562,,,46984249087.0,47704445562.0
Đông Nam Bộ (*),Phải thu ngắn hạn của khách hàng > Đông Nam Bộ (*),Đông Nam Bộ (*),Công ty con,Doanh thu dịch vụ BĐS,-,38.115.689.031,,,,38115689031.0
Khác,Phải thu ngắn hạn của khách hàng > Khác,Khác,Bên liên quan,Doanh thu bán BĐS,1.853.270.780,2.159.519.510,,,1853270780.0,2159519510.0
,,,,,104.826.519.867,87.979.654.103,,,104826519867.0,87979654103.0
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,,,,
Saigon Riverview,Phải thu về cho vay > Saigon Riverview,Saigon Riverview,Công ty con,Cho vay,18.725.000.000,2.125.000.000,,,18725000000.0,2125000000.0
Dầu khí Nha Trang,Phải thu về cho vay > Dầu khí Nha Trang,Dầu khí Nha Trang,Công ty con,Cho vay,2.268.934.820,2.035.934.820,,,2268934820.0,2035934820.0
,,,,,20.993.934.820,4.160.934.820,,,20993934820.0,4160934820.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,,
Đất Xanh Nam Trung Bộ,Phải thu ngắn hạn khác > Đất Xanh Nam Trung Bộ,Đất Xanh Nam Trung Bộ,Công ty con,Vốn góp theo HĐHTKD,103.913.184.000,103.913.184.000,,,103913184000.0,103913184000.0
Hà An,Hà An,Hà An,Công ty con,Tạm ứng Khác,47.000.000.000 349.041.100,1.490.000.000.000 -,,,,
Sài Gòn Riverview Ông Lương Trí Tú,Hà An > Sài Gòn Riverview Ông Lương Trí Tú,Sài Gòn Riverview Ông Lương Trí Tú,Công ty con,Lãi cho vay,2.055.567.630,352.086.472,,,2055567630.0,352086472.0
Dầu khí Nha Trang Đông Nam Bộ (*),Dầu khí Nha Trang Đông Nam Bộ (*),Dầu khí Nha Trang Đông Nam Bộ (*),Công ty con,Tạm ứng Lãi cho vay,1.793.413.900 676.325.589,1.793.413.900 437.312.133,,,,
Dầu khí Nha Trang Đông Nam Bộ (*),Dầu khí Nha Trang Đông Nam Bộ (*) > Dầu khí Nha Trang Đông Nam Bộ (*),Dầu khí Nha Trang Đông Nam Bộ (*),Công ty con,Vốn góp theo HĐHTKD,-,21.000.000.000,,,,21000000000.0
Vicco Sài Gòn,Dầu khí Nha Trang Đông Nam Bộ (*) > Vicco Sài Gòn,Vicco Sài Gòn,Công ty con,Kỹ quỹ,-,2.566.070.280,,,,2566070280.0
Bên khác,Dầu khí Nha Trang Đông Nam Bộ (*) > Bên khác,Bên khác,Khác,Khác,33.103.726,93.103.726,,,33103726.0,93103726.0
,,,,,155.820.635.945,1.620.155.170.511,,,155820635945.0,1620155170511.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
Vicco Sai Gon,Phải trả người bán ngắn hạn > Vicco Sai Gon,Vicco Sai Gon,Công ty con,Dịch vụ BĐS,6.487.744.650,4.234.015.962,,,6487744650.0,4234015962.0
Đông Nam Bộ (*),Phải trả người bán ngắn hạn > Đông Nam Bộ (*),Đông Nam Bộ (*),Công ty con,Dịch vụ BĐS,-,1.273.321.716,,,,1273321716.0
DXS,Phải trả người bán ngắn hạn > DXS,DXS,Công ty con,Dịch vụ BĐS,271.278.468,526.656.912,,,271278468.0,526656912.0
,,,,,6.759.023.118,6.033.994.590,,,6759023118.0,6033994590.0
