row_label_raw,row_label_full,Số đầu năm > Vay trong năm,Năm nay > 2.915.099.553.114 > 24.230.712.769,VNDNăm trước > 1.060.256.182.470 > 3.207.000.000.000,numeric__Năm nay > 2.915.099.553.114 > 24.230.712.769,numeric__VNDNăm trước > 1.060.256.182.470 > 3.207.000.000.000
Trả nợ gốc vay,Trả nợ gốc vay,Trả nợ gốc vay,(879.725.000.000),(1.355.600.000.000),-879725000000.0,-1355600000000.0
Phát hành cổ phiếu chuyển đổi trái phiếu,Phát hành cổ phiếu chuyển đổi trái phiếu,Phát hành cổ phiếu chuyển đổi trái phiếu,(140.000.000.000),-,-140000000000.0,
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,-,(11.652.727.273),,-11652727273.0
Phân bổ chi phí phát hành trái phiếu,Phân bổ chi phí phát hành trái phiếu,Phân bổ chi phí phát hành trái phiếu,8.231.475.249,15.096.097.917,8231475249.0,15096097917.0
Số cuối năm,Số cuối năm,Số cuối năm,1.927.836.741.132,2.915.099.553.114,1927836741132.0,2915099553114.0
